year,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2020,3.668167569413537,6.305072146099422,-0.08690411795019992,7.235466195694481,363,272,91,0.06526497695852536,0.3844662058371735,0.37980030721966207,0.19950076804915515,2.133800662686946,0.6472068018767403,0.0005572976001121387
2021,46.44598793407014,47.079027399564104,-0.1659534984242267,8.506390453942366,597,392,205,0.006297163674212852,0.39828259172521463,0.33307311995836586,0.24499089253187614,6.470432361642366,6.671691335815112,0.0009393012893462988
2022,8.275054490591023,8.346269468349288,-0.09825403261316867,6.534859125529533,447,205,242,-0.25278680630793304,0.45216082821716624,0.1602263151558926,0.4405922715781871,1.287404731571478,3.7856405702643627,0.0004923959638604466
2023,0.39232044990969595,0.3939038314506178,-0.13241104290514683,1.7236466714875405,405,281,124,-0.07482343165766514,0.41242210220191117,0.281678437889489,0.30452845866223516,0.34739803959044835,0.16124453202117617,0.00011183955819581718
2024,1.5172318757798609,1.518824027966911,-0.1378354690198349,3.9109777632835803,444,321,123,-0.018744027303754265,0.38141979522184294,0.3220477815699659,0.2501023890784983,0.8929826516007231,0.5271867457155364,0.00026186125365905655
2025,0.45564988339031265,0.45752790468878035,-0.12908392384532086,1.662396798172202,339,173,166,-0.2602821616451459,0.44770444763271167,0.16475370636059303,0.44249163079866094,0.3657174575412545,0.20595290593676152,0.00010439418801510386
