symbol,regime_fast,regime_slow,best_ema_fast,best_ema_slow,trend_threshold,funding_z_cap,train_total_return,train_max_drawdown,train_sharpe,test_total_return,test_max_drawdown,test_sharpe,test_trades,test_long_trades,test_short_trades,test_long_return,test_short_return,score
BTCUSDT,80,200,12.0,120.0,0.0,999.0,2.5450605711050054,-0.39638131825118295,1.0713242939031817,0.45793939008995843,-0.26001674621542703,1.4489201477833642,30,30,0,0.47997887405922746,0.0,0.40075356492660125
BTCUSDT,90,200,12.0,120.0,0.0,999.0,3.3002084126114575,-0.3642600846798275,1.2009648255410685,0.45793939008995843,-0.26001674621542703,1.4489201477833642,30,30,0,0.47997887405922746,0.0,0.40075356492660125
BTCUSDT,99,200,12.0,120.0,0.0,999.0,3.3311481947487307,-0.3589971535219747,1.2074980578062215,0.45793939008995843,-0.26001674621542703,1.4489201477833642,30,30,0,0.47997887405922746,0.0,0.40075356492660125
BTCUSDT,100,200,12.0,120.0,0.0,999.0,3.4343147158541347,-0.3437286771927668,1.2236789190113113,0.45793939008995843,-0.26001674621542703,1.4489201477833642,30,30,0,0.47997887405922746,0.0,0.40075356492660125
BTCUSDT,120,200,12.0,120.0,0.0,999.0,3.997098493868118,-0.34372867719276545,1.307327926826876,0.45793939008995843,-0.26001674621542703,1.4489201477833642,30,30,0,0.47997887405922746,0.0,0.40075356492660125
BTCUSDT,150,200,12.0,120.0,0.0,999.0,4.127925845110623,-0.3423746773555739,1.3330514584613866,0.45793939008995843,-0.26001674621542703,1.4489201477833642,30,30,0,0.47997887405922746,0.0,0.40075356492660125
BTCUSDT,30,200,20.0,200.0,0.01,1.5,1.963229099450118,-0.36825562027430736,1.001650784450212,0.1183721384738663,-0.29140416412202974,0.5909131519126555,57,57,0,0.15071249064540737,0.0,0.0023014138440518098
BTCUSDT,50,200,20.0,200.0,0.01,1.5,2.103291659128285,-0.3747338906980494,1.0690127601974453,0.1183721384738663,-0.29140416412202974,0.5909131519126555,57,57,0,0.15071249064540737,0.0,0.0023014138440518098
BTCUSDT,60,200,20.0,200.0,0.01,1.5,1.8125824438759488,-0.38365521015144366,1.001578515225338,0.1183721384738663,-0.29140416412202974,0.5909131519126555,57,57,0,0.15071249064540737,0.0,0.0023014138440518098
BTCUSDT,20,200,20.0,200.0,0.01,1.5,2.255673977834675,-0.3419803898181224,1.0252757756563808,0.08659838894504923,-0.3115358768425135,0.47598853271788233,58,57,1,0.15071249064540737,-0.02792467504731555,-0.04530830995334602
ETHUSDT,150,200,48.0,200.0,0.0,999.0,8.713885381959807,-0.6135246563280222,1.3563857048767585,0.2606687930515963,-0.314765298980193,0.9660603478889045,10,9,1,0.3470622958995928,-0.05944252927705529,0.15178919347117173
ETHUSDT,120,200,48.0,200.0,0.0,999.0,8.202437798156824,-0.6446774677084346,1.3271893227884923,0.19025536909136287,-0.3169520572027025,0.7746286630644166,10,8,2,0.29413335290653886,-0.07565704720707778,0.07065277132798367
ETHUSDT,30,200,48.0,200.0,0.0,999.0,7.14682189467575,-0.6267557296812061,1.2477248307128304,0.17677351150972598,-0.36036645804843526,0.680954449387023,14,9,5,0.37829340682267176,-0.1402107177772014,0.030769211538482923
ETHUSDT,80,200,48.0,200.0,0.0,999.0,8.917213707986743,-0.5854552430163604,1.3512795290091477,0.15888825387582806,-0.3349526006791934,0.6701138793397766,11,8,3,0.26478119946760814,-0.07866965217247457,0.02503470203590514
ETHUSDT,50,200,48.0,200.0,0.0,999.0,9.215488837389708,-0.5671724327327003,1.3570903412858522,0.159724640665867,-0.33509864731934647,0.6547699707361736,12,8,4,0.30647377986813606,-0.1069811932048984,0.0250315276880382
ETHUSDT,60,200,48.0,200.0,0.0,999.0,8.932504009113927,-0.5971703471601815,1.3462505314616497,0.1539074488368375,-0.33781091892223913,0.6434835257630602,11,8,3,0.2679640750815273,-0.08493225998675136,0.01728931259853829
ETHUSDT,90,200,48.0,200.0,0.0,999.0,9.834200797343213,-0.5849086364312028,1.3960832692662375,0.12998543102747173,-0.35153896878159296,0.5900491237504248,11,8,3,0.26478119946760814,-0.1016477501375016,-0.016187011316314545
ETHUSDT,99,200,48.0,200.0,0.0,999.0,10.401863583638386,-0.6031383411600808,1.4210948023749606,0.10358726264337359,-0.36668799904569316,0.5133244322044987,11,8,3,0.26478119946760814,-0.1226346171438647,-0.0540160085035625
ETHUSDT,100,200,48.0,200.0,0.0,999.0,9.858205328368948,-0.6031383411600828,1.3992797736012403,0.10358726264337359,-0.36668799904569316,0.5133244322044987,11,8,3,0.26478119946760814,-0.1226346171438647,-0.0540160085035625
ETHUSDT,20,200,48.0,200.0,0.0,999.0,8.448455304091253,-0.6133934896092668,1.3051826491563843,-0.03321990148466558,-0.47936889181585607,0.12356995442244949,14,9,5,0.2714388423139875,-0.2342746087343648,-0.2667482205817943
