year,total_return,initial_capital,final_equity,profit,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2024,32.27839697293699,100.0,3327.839697293699,3227.839697293699,32.35838180055116,-0.2698726140127824,4.778514296308162,273,129,144,-0.1655151183472431,0.7623135859898755,0.10548638664660008,0.1420166917498974,5.403141910189719,5.920637553079371,0.0023121498538092584
2025,9.755603979046843,100.0,1075.5603979046844,975.5603979046842,9.84370027756191,-0.2645502358347761,2.950608814304041,292,149,143,-0.30586256607400286,0.7995434887073521,0.09947140797693417,0.15953868332532437,0.5300890641046068,8.495487094148936,0.001466727786821802
2026,1.615051908959511,100.0,261.5051908959511,161.5051908959511,18.115422660913488,-0.2448297848373,3.308421436436027,107,52,55,-0.5466319444444444,1.2195138888888888,0.12118055555555556,0.23645833333333333,0.2858915551267478,1.3075521825148253,0.0012290380235154238
