entry_time,exit_time,side,size,entry_price,exit_price,bars,gross_return,turnover_cost,funding_cost,net_return,loss_streak_id,consecutive_loss_count
2026-01-01 03:00:00+00:00,2026-01-01 07:00:00+00:00,long,2.5,2979.01,2977.18,4,-0.001535745096525598,0.0035,0.0,-0.005035745096525598,0.0,1.0
2026-01-01 10:00:00+00:00,2026-01-01 17:00:00+00:00,short,4.0,2983.58,3002.4210714285714,7,-0.025259683237682573,0.0056,2.24e-05,-0.030882083237682573,0.0,2.0
2026-01-02 00:00:00+00:00,2026-01-02 04:00:00+00:00,short,0.25,3004.49,3010.19,4,-0.0004742901457485682,0.00035,0.0,-0.0008242901457485683,0.0,3.0
2026-01-06 17:00:00+00:00,2026-01-06 21:00:00+00:00,short,0.25,3194.48,3265.5389285714286,4,-0.005561071643227444,0.00035,0.0,-0.005911071643227444,0.0,4.0
2026-01-10 22:00:00+00:00,2026-01-11 02:00:00+00:00,long,0.25,3079.28,3091.16,4,0.0009645111844326926,0.00035,2.456e-05,0.0005899511844326926,,0.0
2026-01-13 23:00:00+00:00,2026-01-14 03:00:00+00:00,long,0.25,3324.69,3351.04,4,0.001981387738405671,0.00035,2.5e-05,0.001606387738405671,,0.0
2026-01-18 01:00:00+00:00,2026-01-18 05:00:00+00:00,short,0.25,3299.92,3314.37,4,-0.0010947235084486917,0.00035,0.0,-0.0014447235084486918,2.0,1.0
2026-01-19 05:00:00+00:00,2026-01-21 03:00:00+00:00,short,4.0,3201.0,2980.27,46,0.2758263042799127,0.0056,-0.000664224,0.2708905282799127,,0.0
2026-01-23 19:00:00+00:00,2026-01-23 23:00:00+00:00,short,3.5999999999999996,2958.24,2955.08,4,0.0038455297744603096,0.005039999999999999,0.0,-0.0011944702255396898,3.0,1.0
2026-01-24 08:00:00+00:00,2026-01-24 12:00:00+00:00,short,3.5999999999999996,2961.75,2961.48,4,0.000328184350468641,0.005039999999999999,0.0,-0.004711815649531359,3.0,2.0
2026-01-24 14:00:00+00:00,2026-01-25 04:00:00+00:00,short,3.5999999999999996,2957.99,2944.01,14,0.017014256302421236,0.005039999999999999,-0.00020911199999999999,0.012183368302421236,,0.0
2026-01-25 06:00:00+00:00,2026-01-25 16:00:00+00:00,short,3.5999999999999996,2942.86,2895.46,10,0.05798440972387419,0.005039999999999999,-0.0003894479999999999,0.053333857723874195,,0.0
2026-01-26 09:00:00+00:00,2026-01-26 13:00:00+00:00,short,3.5999999999999996,2884.38,2908.3,4,-0.029854596135045063,0.005039999999999999,0.0,-0.03489459613504506,5.0,1.0
2026-01-27 00:00:00+00:00,2026-01-27 16:00:00+00:00,short,4.0,2919.37,2985.055825,16,-0.08999999999999986,0.0056,-0.0007272800000000001,-0.09487271999999985,5.0,2.0
2026-01-28 00:00:00+00:00,2026-01-28 04:00:00+00:00,short,0.25,3023.0,2998.3,4,0.0020426728415481044,0.00035,0.0,0.0016926728415481043,,0.0
2026-02-08 07:00:00+00:00,2026-02-08 11:00:00+00:00,short,4.0,2083.48,2130.3583,4,-0.08999999999999986,0.0056,0.00012184,-0.09572183999999985,6.0,1.0
2026-02-12 19:00:00+00:00,2026-02-12 23:00:00+00:00,long,2.5,1924.36,1947.15,4,0.02960724604543885,0.0035,0.0,0.02610724604543885,,0.0
2026-02-17 00:00:00+00:00,2026-02-17 04:00:00+00:00,short,4.0,1997.57,1988.6,4,0.017961823615693095,0.0056,0.0,0.012361823615693095,,0.0
2026-02-17 21:00:00+00:00,2026-02-18 01:00:00+00:00,short,3.5999999999999996,1998.68,1976.9,4,0.039229891728540606,0.005039999999999999,-4.035599999999999e-05,0.0342302477285406,,0.0
2026-02-20 10:00:00+00:00,2026-02-20 14:00:00+00:00,long,2.5,1956.5,1942.64,4,-0.017710196779964216,0.0035,0.0,-0.021210196779964215,9.0,1.0
2026-02-20 17:00:00+00:00,2026-02-20 21:00:00+00:00,short,3.5999999999999996,1965.6,1973.44,4,-0.01435897435897484,0.005039999999999999,0.0,-0.01939897435897484,9.0,2.0
2026-02-21 06:00:00+00:00,2026-02-21 14:00:00+00:00,long,0.25,1960.5,1986.62,8,0.003330782963529677,0.00035,1.148e-05,0.002969302963529677,,0.0
2026-02-21 14:00:00+00:00,2026-02-23 09:00:00+00:00,short,4.0,1986.62,1916.88,43,0.1404194058249688,0.0056,0.001274268,0.13354513782496882,,0.0
2026-02-23 10:00:00+00:00,2026-02-23 17:00:00+00:00,short,4.0,1913.23,1862.99,7,0.10503703161668998,0.0056,-6.616e-05,0.09950319161668998,,0.0
2026-02-24 01:00:00+00:00,2026-02-24 13:00:00+00:00,long,2.5,1839.87,1814.6,12,-0.034336665090468343,0.0035,-0.00011114999999999999,-0.03772551509046835,12.0,1.0
2026-02-25 00:00:00+00:00,2026-02-26 15:00:00+00:00,long,2.5,1850.95,2032.33,39,0.2449823063832085,0.0035,0.0005138390000000001,0.2409684673832085,,0.0
2026-02-27 00:00:00+00:00,2026-02-27 04:00:00+00:00,long,2.5,2013.83,2041.8,4,0.034722394641056864,0.0035,0.0,0.031222394641056864,,0.0
