year,total_return,initial_capital,final_equity,profit,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2024,71.9798654626723,100.0,7297.98654626723,7197.98654626723,72.1946308646633,-0.3062638601679416,5.00145554224147,277,134,143,-0.26214256396223834,0.9508168012039951,0.11561089068271993,0.16855931043918457,11.592534547265709,7.130299145653895,0.0024935300834365956
2025,183.7996118702023,100.0,18479.96118702023,18379.96118702023,187.1416964228159,-0.23608776267167908,5.221049428723399,339,196,143,-0.2649543488707352,1.0644257568476694,0.1439211917347429,0.18032196059586736,6.555246000875061,35.5435479749643,0.0023240053853530443
2026,0.5076267093664928,100.0,150.76267093664927,50.76267093664928,2.5256741776839067,-0.34040402405740744,1.9211907375356554,78,37,41,-0.42759722222222213,0.7997916666666667,0.06770833333333333,0.16493055555555555,0.08081839806355906,0.5422299711601744,0.0009259934853400037
