ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,regime_filter,regime_fast,regime_slow,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
12,120,0.0,0,-999.0,999.0,1,1,100,200,5.464962092299298,0.4528615589293403,-0.3437286771927668,1.2590595614705136,154,109,45,0.18284679197731807,0.3750656305785992,0.2789562112779586,0.09610941930064056,6.618374088476533,-0.08345724969822876,0.0001611418248212352,0.3439501984064826
30,96,0.0,0,-999.0,999.0,1,1,100,200,5.1799976994067825,0.4398127572469266,-0.356814722663334,1.2267133273785764,125,89,36,0.18402814239210333,0.3783996639714376,0.2812139031817705,0.09718576078966712,6.259536542874286,-0.0937884128582922,0.00015601137693190432,0.3227410622841884
20,96,0.0,0,-999.0,999.0,1,1,100,200,4.935756197349486,0.4282399163721111,-0.3687683633881106,1.2135357676089336,144,98,46,0.1812979103223774,0.36863383387587945,0.2749658720991284,0.09366796177675102,6.295531800279615,-0.12562824033241415,0.00015734102871729227,0.30453252305850254
12,96,0.0,0,-999.0,999.0,1,1,100,200,4.752899795183003,0.41932370412638287,-0.3632797207132604,1.2155988828708495,169,115,54,0.179407749658721,0.35902551716895936,0.26921663341384017,0.08980888375511918,6.1133158970037424,-0.11992076346649039,0.0001589801051279021,0.29846378791329514
30,60,0.0,0,-999.0,999.0,1,1,100,200,5.1108462448559635,0.4365738491309772,-0.42490420060939016,1.24441253123317,158,105,53,0.1767300220518744,0.3526199726976793,0.26467499737477684,0.08794497532290245,7.095186602957995,-0.18305590750610556,0.00016627004808625087,0.2863423753879406
48,60,0.0,0,-999.0,999.0,1,1,100,200,4.754245343788648,0.4193901366533743,-0.3884365008090904,1.1942073962426833,129,89,40,0.1823479995799643,0.36695369106374043,0.27465084532185235,0.09230284574188806,6.368001465314581,-0.16697569903019727,0.0001554144379544118,0.2848822560609633
20,120,0.0,0,-999.0,999.0,1,1,100,200,4.446476901249821,0.4038605529772976,-0.35926921926227406,1.1533853627621078,134,96,38,0.18560327627848366,0.38459519059120023,0.28509923343484195,0.0994959571563583,5.512270142823776,-0.10568963229161943,0.00014534273706956694,0.281895211484266
48,200,0.0,0,-999.0,999.0,1,1,100,200,4.790379584822318,0.4211695291000068,-0.39613378210092676,1.131116999750351,87,65,22,0.21613462144282264,0.4482043473695264,0.3321694844061745,0.11603486296335189,5.4096787404014455,-0.05644481330443796,0.00013055323347375383,0.279658488037061
12,120,0.0,0,-999.0,2.5,1,1,100,200,4.032744318371174,0.38183793527951737,-0.35247909041261294,1.1528717048267754,301,226,75,0.1660978683188071,0.34771080541846056,0.25690433686863384,0.09080646854982674,5.75497804206865,-0.13391884104834717,0.00015796084188737135,0.2632419753145497
30,120,0.0,0,-999.0,999.0,1,1,100,200,4.426770397920208,0.40284249014317175,-0.40126169383624133,1.1408498916459822,116,84,32,0.1897773810773916,0.3933896881234905,0.29158353460044106,0.10180615352304946,5.568267308830148,-0.124439808247917,0.00014197650952573683,0.2592541378073502
30,96,0.0,0,-999.0,2.5,1,1,100,200,3.9925958034550773,0.3796246412295876,-0.36316548072563426,1.1417436144307824,271,208,63,0.16748923658510972,0.3508348209597816,0.25916202877244565,0.09167279218733593,5.566955582361565,-0.129389406181474,0.00015525230009328617,0.2551290815883096
48,96,0.0,0,-999.0,999.0,1,1,100,200,4.593502687187247,0.4113645104469863,-0.43179293943654906,1.1540807211618478,111,78,33,0.19022366901186602,0.39283839126325737,0.2915310301375617,0.10130736112569569,6.7092185753619695,-0.23302207653996587,0.0001442675144085845,0.25317207678680415
20,96,0.0,0,-999.0,2.5,1,1,100,200,3.6706713023878805,0.36134298191793746,-0.3428980393409524,1.1115838533278244,292,216,76,0.16478525674682348,0.34146277433581856,0.253124015541321,0.08833875879449753,5.430988201794669,-0.1595256895557119,0.00015455745249137354,0.24547315491385246
30,96,0.01,0,-999.0,999.0,1,1,100,200,3.6673372117843837,0.3611484382833956,-0.3525944493388611,1.1227124720948511,87,62,25,0.1496639714375722,0.2901659141026987,0.21991494277013546,0.07025097133256326,4.382269905246625,-0.09426689567387869,0.0001716678608954251,0.24098683721870762
12,96,0.0,0,-999.0,2.5,1,1,100,200,3.457273995743873,0.34866094099358214,-0.3510523142910683,1.1027792292221865,311,228,83,0.16289509608316707,0.3321169799432952,0.24750603801323112,0.08461094193006405,5.24151455585659,-0.16568697291147017,0.00015468959913193223,0.2282737453091573
12,120,0.0,0,-999.0,1.5,1,1,100,200,3.241872383290424,0.3353573049231804,-0.3364025050810543,1.1115859311296195,409,301,108,0.14674997374776855,0.3000630053554552,0.22340648955161188,0.07665651580384332,4.512251746793696,-0.0558000194936179,0.0001683118297212947,0.22273534893913421
48,60,0.0,0,-999.0,2.5,1,1,100,200,3.513401609803095,0.35204284423628973,-0.3693758538461185,1.089411442552376,271,206,65,0.16565158038433267,0.33986138821799855,0.2527564843011656,0.08710490391683293,5.56152247672853,-0.2122997604598691,0.00015195525789831962,0.2218254894408493
20,200,0.0,0,-999.0,999.0,1,1,100,200,4.0599179478081915,0.3833279530981395,-0.43188040869251054,1.0866181664458756,116,85,31,0.20329728026882285,0.42145332353250026,0.31237530190066154,0.1090780216318387,5.202071729744606,-0.13542620328648136,0.0001292901547204244,0.221718657074178
20,120,0.0,0,-999.0,2.5,1,1,100,200,3.418127236554257,0.34628197929820614,-0.3606113678864741,1.067473919969115,285,217,68,0.16890685708285205,0.3567153208022682,0.2628110889425601,0.09390423185970807,4.871455000664336,-0.13224939993444373,0.0001443766743058441,0.21934999135342487
48,120,0.0,0,-999.0,999.0,1,1,100,200,4.025977711189305,0.3814658999213092,-0.4359275363200318,1.0839830216387154,103,77,26,0.1976530505092933,0.40798592880394835,0.3028194896566208,0.10516643914732753,4.936032143185643,-0.10855187971222768,0.00013263373283723602,0.21770128284322907
30,60,0.0,0,-999.0,2.5,1,1,100,200,3.702516094131048,0.3631955450912068,-0.4154947946581917,1.1291153706053998,298,218,80,0.1606899086422346,0.3260264622492912,0.2433581854457629,0.0826682768035283,6.1878849791115575,-0.24062685854963062,0.000161728335786823,0.2119039162923809
48,200,0.0,0,-999.0,2.5,1,1,100,200,3.5621137722729532,0.35495077930208074,-0.3901869464322597,1.032661737844816,259,197,62,0.1989919143127166,0.418670586999895,0.3088312506563058,0.10983933634358921,4.822927679985364,-0.10817443868647503,0.00012799396268967257,0.2114903929781917
12,120,0.0025,0,-999.0,999.0,1,1,100,200,3.745777161929924,0.36569623852224264,-0.4241341088077105,1.0958805002413907,142,97,45,0.1729234484931219,0.35332878294655046,0.2631261157198362,0.09020266722671427,5.925120806903845,-0.26426298225303135,0.00014675178036577255,0.20842320913045692
30,120,0.0,0,-999.0,2.5,1,1,100,200,3.3610522495628485,0.3427831203190417,-0.37806732546636534,1.0505170607789438,272,208,64,0.17289719626168223,0.3647485036228079,0.2688228499422451,0.09592565368056284,5.134847081653702,-0.18554636012092818,0.00014049303598003592,0.2062753106248062
