mode,long_threshold,short_threshold,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
long_short,0.52,0.42,4.595756193275768,4.60236004566467,-0.11969468510977221,4.941344668245235,500,308,192,-0.007235494880546075,0.602457337883959,0.2976109215017065,0.30484641638225257,2.109517838427794,1.2878232725821386,0.00046249375713653063,4.7895799365220455
long_short,0.52,0.4,3.9791822255263547,3.984659832356411,-0.12240663246618011,4.752919166916106,483,308,175,0.04327645051194539,0.5519453924914676,0.2976109215017065,0.2543344709897611,2.1157307199751894,1.0195212523515762,0.0004732752764872451,4.161102474469126
long_short,0.52,0.38,3.773511137744955,3.7786244154439617,-0.12616596017624793,4.778949563220765,447,308,139,0.08709897610921502,0.5081228668941979,0.2976109215017065,0.21051194539249146,2.1172824597328592,0.904415284308222,0.000497145016820775,3.954488913516876
long_short,0.55,0.42,2.4707473021804973,2.47370670945466,-0.16115362714705694,4.05361771476192,426,234,192,-0.1427986348122867,0.4668941979522184,0.16204778156996588,0.30484641638225257,0.8632667610039473,1.2946740417776206,0.00044281285281822636,2.5958107816192277
long_short,0.55,0.4,2.088339012655944,2.0907252177664106,-0.15604635609515716,3.826967055110959,409,234,175,-0.09228668941979522,0.41638225255972694,0.16204778156996588,0.2543344709897611,0.8632667610039473,1.0245595209667058,0.0004538973604041824,2.20405039247438
long_short,0.52,0.45,2.0700512047040682,2.072410781379917,-0.2315742119220615,3.073902212793813,559,308,251,-0.110580204778157,0.70580204778157,0.2976109215017065,0.4081911262798635,2.10175428865407,0.2882597627316188,0.000285884098666534,2.110318786058577
long_short,0.55,0.38,1.9607640900060161,1.9629661095575597,-0.16296397949045027,3.8426976476412076,373,234,139,-0.048464163822525594,0.3725597269624573,0.16204778156996588,0.21051194539249146,0.8632667610039473,0.9072487210972666,0.00048362358336451037,2.073619002194395
long_short,0.58,0.42,1.7647289965225466,1.7666554007359156,-0.16152838748157006,3.9671697916693853,289,97,192,-0.24054607508532425,0.36914675767918087,0.06430034129692833,0.30484641638225257,0.3873535484692192,1.2992439915362373,0.0004447489202942026,1.8842496965786
long_short,0.52,0.48,1.8294228066381302,1.8314391449692535,-0.27536692000443985,2.6743873511853056,558,308,250,-0.2322184300341297,0.8274402730375426,0.2976109215017065,0.5298293515358362,2.0571644785866803,0.16665745550935607,0.00022794948523293483,1.827475052526299
long_short,0.58,0.4,1.4601100788920616,1.4616274001055567,-0.1432919998810811,3.727776469710679,272,97,175,-0.19003412969283276,0.31863481228668944,0.06430034129692833,0.2543344709897611,0.3873535484692192,1.0285915251318647,0.0004595407339631304,1.5763702236505501
long_short,0.6,0.42,1.4223286893119793,1.4237970144805958,-0.15169732663150004,3.587274881121415,252,60,192,-0.26880546075085326,0.3408873720136519,0.036040955631399314,0.30484641638225257,0.19444347031710296,1.2992439915362373,0.0004204758745445247,1.5273120952209165
long_short,0.58,0.38,1.3584921170091921,1.3598785786584258,-0.11670668845801524,3.794617268702752,236,97,139,-0.14621160409556314,0.2748122866894198,0.06430034129692833,0.21051194539249146,0.3873535484692192,0.910096196899375,0.0005004917450764724,1.4912560978645557
long_short,0.62,0.42,1.3547304031684928,1.356112077486542,-0.15348981136414563,3.5973697598546726,224,32,192,-0.2877815699658703,0.3219112627986348,0.017064846416382253,0.30484641638225257,0.14496464311751556,1.2992439915362373,0.00042611334051786113,1.459235659797203
long_short,0.6,0.4,1.155435570886409,1.1565696767123264,-0.13324711779543175,3.3227038807464284,235,60,175,-0.21829351535836178,0.2903754266211604,0.036040955631399314,0.2543344709897611,0.19444347031710296,1.0285915251318647,0.0004324848384259993,1.2560813118519318
long_short,0.62,0.4,1.0952852902380794,1.0963471078175346,-0.13507858828008812,3.3321549443676397,207,32,175,-0.23726962457337883,0.27139931740614337,0.017064846416382253,0.2543344709897611,0.14496464311751556,1.0285915251318647,0.00044001119191928523,1.1954155608958725
long_short,0.6,0.38,1.0664025753458497,1.0674301006072437,-0.11670668845801402,3.3734888611497005,199,60,139,-0.17447098976109215,0.2465529010238908,0.036040955631399314,0.21051194539249146,0.19444347031710296,0.910096196899375,0.00047332063183892206,1.177751199435722
long_short,0.62,0.38,1.0087368782039947,1.0096967692831997,-0.11670668845801435,3.3992381495092285,171,32,139,-0.1934470989761092,0.22757679180887372,0.017064846416382253,0.21051194539249146,0.14496464311751556,0.910096196899375,0.00048570129532365426,1.121305332529654
long_short,0.55,0.45,0.9041979559386517,0.9050381545672987,-0.30466078041364475,2.0189797527388977,485,234,251,-0.2461433447098976,0.5702389078498293,0.16204778156996588,0.4081911262798635,0.8614055491163539,0.294711538486212,0.0002286224075893716,0.8536567519974213
long_short,0.55,0.48,0.7548766025356415,0.7555527190800302,-0.34429489337339514,1.6591293751980634,484,234,250,-0.3677815699658703,0.691877133105802,0.16204778156996588,0.5298293515358362,0.8530573813604243,0.1901969206726961,0.00017433639234247088,0.6663617411532358
long_short,0.58,0.45,0.5168595584763522,0.5172924884508168,-0.30911914053965894,1.539229608285404,348,97,251,-0.3438907849829351,0.47249146757679183,0.06430034129692833,0.4081911262798635,0.3873535484692192,0.2986004680837344,0.0001864018839462569,0.4396943985952575
long_short,0.58,0.48,0.39788396462463105,0.3982047101212296,-0.34849912839921093,1.1634676610110875,347,97,250,-0.46552901023890786,0.5941296928327645,0.06430034129692833,0.5298293515358362,0.3852678371854299,0.19615069692283882,0.00013297747247905157,0.2821285289721785
long_short,0.6,0.45,0.32900274521514317,0.3292616791461276,-0.3010185779587713,1.1294566472296539,311,60,251,-0.3721501706484642,0.4442320819112628,0.036040955631399314,0.4081911262798635,0.19444347031710296,0.2986004680837344,0.0001513411489244466,0.23522522252822464
long_short,0.62,0.45,0.291915165708311,0.2921418244453813,-0.3020590270077076,1.0536881641032487,283,32,251,-0.39112627986348125,0.4252559726962457,0.017064846416382253,0.4081911262798635,0.14496464311751556,0.2986004680837344,0.00014359906799473122,0.19379671914668992
long_short,0.6,0.48,0.22476940644871024,0.2249395039888873,-0.34086029529269224,0.7948218050106467,310,60,250,-0.49378839590443685,0.5658703071672355,0.036040955631399314,0.5298293515358362,0.19384874304336974,0.19615069692283882,0.00010302657140916446,0.09425044659307351
long_short,0.62,0.48,0.1905905961319152,0.190732863476625,-0.3418414390788562,0.718872453055823,282,32,250,-0.5127645051194539,0.5468941979522184,0.017064846416382253,0.5298293515358362,0.1443945519263916,0.19615069692283882,9.533003911493388e-05,0.055755766589988036
