ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,total_return,annual_return,max_drawdown,sharpe,trades,exposure,abs_exposure,avg_bar_return_when_in_position,score
30,60,0.0,0,-999.0,999.0,0,7.008820881530195,0.516482813158686,-0.27540793981608014,1.528388025115528,114,0.28680562847842067,0.28680562847842067,0.0002205144739656314,0.4551982445064224
12,120,0.0,0,-999.0,999.0,0,6.879104072126623,0.5115348767931196,-0.2772634298423764,1.4975683236102288,117,0.3024519584164654,0.3024519584164654,0.00020866676885311823,0.44778157805244284
30,60,0.0025,0,-999.0,999.0,0,6.310079834926099,0.48902767463146146,-0.26603604097595945,1.4849721132523155,106,0.2707130106059015,0.2707130106059015,0.0002236507296498165,0.4302582598060975
12,120,0.0025,0,-999.0,999.0,0,6.238175063451257,0.48608473780802086,-0.2578302476481219,1.4585322368038196,105,0.28588680037803216,0.28588680037803216,0.00021171209712849217,0.4300962258241509
48,96,0.0,0,-999.0,999.0,0,6.737917875609689,0.506074837083422,-0.3060897919144242,1.4517437678606633,86,0.31542056074766356,0.31542056074766356,0.0001988079544383575,0.42561712951924313
30,96,0.0,0,-999.0,999.0,0,6.7104308817467215,0.5050025899373438,-0.31365613208518983,1.4730480059580027,97,0.3044733802373202,0.3044733802373202,0.0002050276999093862,0.42182692419264906
48,60,0.0,0,-999.0,999.0,0,6.371418225537329,0.49151990305632776,-0.3010357002790627,1.4533893089553072,97,0.29699149427701355,0.29699149427701355,0.00020581112500908061,0.4136715183645618
12,96,0.0,0,-999.0,999.0,0,6.222358056894355,0.4854342397259228,-0.2916910252664089,1.4748498574558115,124,0.29187230914627743,0.29187230914627743,0.0002073142184762266,0.4133312199655089
20,96,0.0,0,-999.0,999.0,0,6.18880243749085,0.484050432792718,-0.2906653054843713,1.4410804480796042,107,0.2980678357660401,0.2980678357660401,0.00020312727290029708,0.41077180245451256
12,120,0.005,0,-999.0,999.0,0,5.5131099772972645,0.4550206606994327,-0.26775190381926217,1.413525833260888,95,0.2689803633308831,0.2689803633308831,0.00021306604306850653,0.391821000452846
20,96,0.0025,0,-999.0,999.0,0,5.5275173209944946,0.4556642490189853,-0.2832127621531886,1.39350324537181,100,0.28179145227344327,0.28179145227344327,0.00020483808482854343,0.3837330302109815
48,96,0.0025,0,-999.0,999.0,0,5.754494917712069,0.46565656858740834,-0.3042727874746304,1.3810271763242412,79,0.29825160138611784,0.29825160138611784,0.00019728818290415818,0.3825715336663052
30,96,0.0025,0,-999.0,999.0,0,5.748350790737239,0.465389646244728,-0.30644513922769456,1.4025542383686935,91,0.28838076236480104,0.28838076236480104,0.00020337858723407275,0.3822947885493154
12,96,0.0025,0,-999.0,999.0,0,5.342973779788164,0.4473330732849352,-0.2728138737290191,1.4045888695689943,117,0.2758321957366376,0.2758321957366376,0.00020596555390907904,0.3811555798988754
20,120,0.0,0,-999.0,999.0,0,5.828468380391921,0.46885508613312754,-0.3204235391730984,1.3937075575357158,104,0.30922503412790087,0.30922503412790087,0.00019198064959114372,0.37832869442336414
48,60,0.0025,0,-999.0,999.0,0,5.367893086541169,0.44846928063141944,-0.293692112307272,1.373668906423636,93,0.2812664076446498,0.2812664076446498,0.00020277465177818025,0.37030666979896526
30,96,0.005,0,-999.0,999.0,0,5.406608226273894,0.45022748070258634,-0.29985851735840185,1.3914125029053896,84,0.27173684763204875,0.27173684763204875,0.00020933064034563083,0.36986884716865487
30,120,0.0,0,-999.0,999.0,0,5.650363922567416,0.46110625794799365,-0.32594008706393485,1.3630139791396285,92,0.3164181455423711,0.3164181455423711,0.0001856165863513038,0.36628691337300767
20,120,0.0025,0,-999.0,999.0,0,5.384897595845496,0.44924256934640283,-0.3132836472993161,1.3650299069306158,95,0.2924498582379502,0.2924498582379502,0.00019586041023005003,0.36085224104327557
12,120,0.0,0,-999.0,1.5,0,4.949513574404654,0.4289018065277408,-0.28300069806406114,1.4447959902825167,321,0.24301690643704715,0.24301690643704715,0.00023374008355520835,0.35964125700983607
30,60,0.005,0,-999.0,999.0,0,5.279602313380259,0.44442745243724735,-0.31237377826217716,1.407050663853752,98,0.25603801323112463,0.25603801323112463,0.00021935539973642012,0.3585930964988464
12,96,0.005,0,-999.0,999.0,0,4.864499634368166,0.4247918748918005,-0.2822110821817305,1.3759471702567927,107,0.26008085687283417,0.26008085687283417,0.0002088384455984584,0.35248369231377485
48,96,0.0,0,-999.0,1.5,0,4.8340796154884895,0.4233096635857878,-0.2821271697251698,1.3998299258055507,309,0.2518114039693374,0.2518114039693374,0.00022425721669056347,0.3522375750134804
30,60,0.0,0,-999.0,1.5,0,4.766123982432167,0.4199760713039653,-0.28294864726108293,1.44680009368223,314,0.22931324162553818,0.22931324162553818,0.0002426327969393751,0.35084175235753534
20,96,0.005,0,-999.0,999.0,0,5.03323940072237,0.432903806742585,-0.3037982233583816,1.3642653923109793,91,0.2658300955581224,0.2658300955581224,0.0002077658342527543,0.34921796467894317
20,200,0.0,0,-999.0,999.0,0,5.336652074857612,0.4470442645516315,-0.33186610277748374,1.30984413302254,91,0.33944135251496377,0.33944135251496377,0.00017040670329014022,0.34660341981401666
48,200,0.0,0,-999.0,999.0,0,5.54739813494,0.45655047880526944,-0.3489173406137348,1.2898285556361087,70,0.36044313766670166,0.36044313766670166,0.00016416854937279865,0.3465832362802075
48,60,0.005,0,-999.0,999.0,0,5.07339586250036,0.43480749702951504,-0.3219945240755753,1.3650713511485355,86,0.26554132101228606,0.26554132101228606,0.00020858401337077171,0.3420638025491542
30,96,0.0,0,-999.0,1.5,0,4.6963747064801264,0.41652164966831084,-0.2898945411085393,1.406489724896506,311,0.24346319437152159,0.24346319437152159,0.00022839330385158058,0.3418988653588665
20,120,0.005,0,-999.0,999.0,0,4.964062536171223,0.4296004505724438,-0.3133694580939308,1.342946704230188,87,0.27522839441352515,0.27522839441352515,0.00020007260345648672,0.3400630567369878
12,120,0.0025,0,-999.0,1.5,0,4.288523718886941,0.39561612355691644,-0.26372178145322034,1.3746551619646128,298,0.22954951170849522,0.22954951170849522,0.0002319723153038374,0.3324879909285369
20,96,0.0,0,-999.0,1.5,0,4.32508598475906,0.3975418495524339,-0.26802243071640064,1.368517164557705,311,0.23900031502677727,0.23900031502677727,0.00022477099872551245,0.33195649242211883
30,120,0.0025,0,-999.0,999.0,0,4.885634495310876,0.4258180516380816,-0.31885815416567376,1.2993913241551986,84,0.2989341594035493,0.2989341594035493,0.00018470997489683196,0.3313585407630047
20,200,0.0025,0,-999.0,999.0,0,5.2575349242956015,0.44341014287933866,-0.3589343277002278,1.3174303414571504,82,0.3181245405859498,0.3181245405859498,0.00017958909227461096,0.3298144961020823
48,120,0.0,0,-999.0,999.0,0,5.077959216848384,0.43502319354675123,-0.34205412416088954,1.287434576798142,83,0.32896671217053447,0.32896671217053447,0.00017203350665019875,0.32836786030621357
48,200,0.0025,0,-999.0,999.0,0,5.480047258789472,0.45353940457811204,-0.38338033572806907,1.2977208087610497,65,0.33692113829675524,0.33692113829675524,0.00017381842916711779,0.32673527715213
48,96,0.005,0,-999.0,999.0,0,5.011511452379949,0.4318695247290676,-0.3463834987429084,1.3297688001418304,75,0.2797437782211488,0.2797437782211488,0.00019799188058779193,0.3251662153647049
30,60,0.0025,0,-999.0,1.5,0,4.072290773648273,0.384004275287247,-0.25925684392826187,1.3674476460320482,295,0.21639714375721936,0.21639714375721936,0.0002396834382063917,0.3227482356247185
12,60,0.0,0,-999.0,999.0,0,4.567265247561629,0.4100370536337985,-0.3115663258537521,1.3509903616806793,162,0.2742570618502573,0.2742570618502573,0.00019520793479261607,0.3218034087909564
20,120,0.0,0,-999.0,1.5,0,4.2856910049423815,0.39546648116164573,-0.29929631522231204,1.3487901832356088,314,0.24792607371626588,0.24792607371626588,0.00021670623904132975,0.31325783271227015
12,120,0.005,0,-999.0,1.5,0,3.9443464540860393,0.3769458527006724,-0.26277448175006146,1.3521952177886014,273,0.21453323532500262,0.21453323532500262,0.00023711113411154145,0.3131683727150717
12,96,0.0,0,-999.0,1.5,0,4.153342880204563,0.38840239553650013,-0.29238410785661206,1.3792044131983334,319,0.2341436522104379,0.2341436522104379,0.0002247199254851356,0.3111705622681108
20,60,0.0,0,-999.0,999.0,0,4.524897852434736,0.40788291547398314,-0.32947778954979345,1.3261580741389922,138,0.2797962826840281,0.2797962826840281,0.0001904422778753537,0.309451924406036
48,96,0.0025,0,-999.0,1.5,0,4.009219466064085,0.3805427857635584,-0.27458492145328117,1.3061302457324362,289,0.23834400924078547,0.23834400924078547,0.00021835406073731904,0.3085568373235396
30,200,0.0,0,-999.0,999.0,0,4.881450269675107,0.42561512606276053,-0.362856707292174,1.2497384450020912,83,0.3476845531870209,0.3476845531870209,0.00016126427105259963,0.3066736946667781
48,60,0.0,0,-999.0,1.5,0,4.167722975769671,0.3891769131826315,-0.30323354089660903,1.3471583846437165,308,0.23666386642864642,0.23666386642864642,0.00022348228113235207,0.3049180619665128
20,200,0.0,0,-999.0,1.5,0,4.1556599264926675,0.388527309302209,-0.3110633079534669,1.2921282612445055,326,0.2732857292869894,0.2732857292869894,0.00019658141041433298,0.29760206838770087
20,96,0.0025,0,-999.0,1.5,0,3.6522398650919925,0.3602661168130439,-0.2603319926274196,1.2841932817279194,293,0.2259529560012601,0.2259529560012601,0.00022031260851535658,0.2943097845857301
30,96,0.005,0,-999.0,1.5,0,3.7355571222218034,0.3651071221800599,-0.2748928739663259,1.3121304756447292,273,0.21610836921138296,0.21610836921138296,0.00023052334182947206,0.29326720897913344
30,96,0.0025,0,-999.0,1.5,0,3.8025263577529502,0.3689491090060695,-0.282433899830149,1.2972917095099232,294,0.23075711435472016,0.23075711435472016,0.00021991020762752986,0.29259674456649115
20,200,0.0025,0,-999.0,1.5,0,3.99400264731573,0.37970243751365196,-0.30382507388763635,1.286617523749075,301,0.2564580489341594,0.2564580489341594,0.00020408738875234142,0.29212077675728754
30,120,0.0,0,-999.0,1.5,0,4.118191394849661,0.3865018190961702,-0.32805961771221237,1.3138784172599123,314,0.2529402499212433,0.2529402499212433,0.00020964694015202962,0.28816593110305966
12,60,0.0025,0,-999.0,999.0,0,3.9253516789862184,0.3758855307132767,-0.3048145473453141,1.2817111017663747,151,0.2580331828205397,0.2580331828205397,0.00019368143885885802,0.2875638121289384
48,96,0.005,0,-999.0,1.5,0,3.688447307974739,0.36237833803627595,-0.28287657207007066,1.2847951757673193,270,0.22219888690538694,0.22219888690538694,0.00022386466674234322,0.2851798107896066
20,120,0.0025,0,-999.0,1.5,0,3.7621175611150424,0.3666360474746504,-0.29193445260160544,1.2878483629300748,294,0.23448493121915362,0.23448493121915362,0.00021563486337146455,0.28506123932035143
30,120,0.005,0,-999.0,999.0,0,4.3664165457705355,0.3997060273769599,-0.3571645490901256,1.260593809529744,77,0.28082011971017534,0.28082011971017534,0.00018650693530313016,0.2841534433083843
20,60,0.0025,0,-999.0,999.0,0,4.0021970214594145,0.3801552256096643,-0.32117156224781396,1.2730435186023632,130,0.26391368266302634,0.26391368266302634,0.00019087526986641556,0.2832216204158755
20,200,0.005,0,-999.0,999.0,0,4.462445742663754,0.40468336460198606,-0.3699419988622037,1.2530291222296883,75,0.2978053134516434,0.2978053134516434,0.00017839563169134745,0.28236382128236864
30,200,0.0025,0,-999.0,999.0,0,4.66230993403638,0.41482223768409465,-0.3896439700908132,1.240609849551457,76,0.3254751653890581,0.3254751653890581,0.00016810593317657824,0.2820307451162609
20,96,0.005,0,-999.0,1.5,0,3.448967896065672,0.34815757734292974,-0.2613939017637822,1.275732335020807,270,0.21193426441247507,0.21193426441247507,0.0002266120029673339,0.281247243212079
48,200,0.0025,0,-999.0,1.5,0,3.8371070717916513,0.3709162332932312,-0.306053880016651,1.2286803855667623,305,0.2715793342434107,0.2715793342434107,0.00019171091560302953,0.27932331256324383
48,200,0.0,0,-999.0,1.5,0,3.982493653570626,0.37906549238909637,-0.32302548260419917,1.2337430680961567,329,0.2904021841856558,0.2904021841856558,0.0001838255152569831,0.27923990449180464
48,120,0.0025,0,-999.0,999.0,0,4.532630750309307,0.4082770722079685,-0.38346304228043515,1.2418729273539888,77,0.30982883545101336,0.30982883545101336,0.00017374069887857673,0.27863919743545035
30,60,0.005,0,-999.0,1.5,0,3.500394187304379,0.35126210462075025,-0.2806162150731909,1.3023696304528778,274,0.2036385592775386,0.2036385592775386,0.00023664584833740787,0.2760724786067987
20,120,0.005,0,-999.0,1.5,0,3.593616909006057,0.3568182013351071,-0.291313008290496,1.2866672203224507,272,0.21923238475270398,0.21923238475270398,0.00022367677818160446,0.27549505820598164
12,60,0.0,0,-999.0,1.5,0,3.294263144423266,0.33864194114115076,-0.2614624889411282,1.2949165414584372,341,0.2197836816129371,0.2197836816129371,0.0002164357121248397,0.2726565237435085
12,96,0.0025,0,-999.0,1.5,0,3.3820907417196464,0.3440770785566649,-0.2735254276721908,1.272180153973723,302,0.22109629318492072,0.22109629318492072,0.0002170164059312337,0.2709233724192557
20,60,0.0,0,-999.0,1.5,0,3.0897489573641614,0.32563244251868184,-0.23608028330287978,1.2385677852119754,326,0.22380027302320699,0.22380027302320699,0.00020681824576498434,0.26952069012784075
48,120,0.0,0,-999.0,1.5,0,4.012819630149387,0.38074130594667865,-0.3518355755118707,1.280137327398228,312,0.2631261157198362,0.2631261157198362,0.00020029082596644384,0.26883038456065467
12,200,0.0,0,-999.0,999.0,0,4.1782129247274105,0.3897408192667957,-0.36724815764210794,1.1944774779087075,108,0.33363960936679615,0.33363960936679615,0.0001577237939604154,0.2658406143411771
48,200,0.005,0,-999.0,999.0,0,4.001049451066227,0.38009185123577116,-0.3534783110748103,1.1626714106752813,65,0.3130316076866534,0.3130316076866534,0.00016409605344485945,0.26148626623213006
48,120,0.005,0,-999.0,999.0,0,4.010093493300119,0.3805909918449344,-0.36093187949302696,1.1992641045114798,74,0.2901134096398194,0.2901134096398194,0.00017522289504871778,0.2600882573239949
12,96,0.005,0,-999.0,1.5,0,3.201119544111868,0.3327797956767746,-0.27259074139547834,1.2663624112349205,279,0.2072351149847737,0.2072351149847737,0.00022338116287892168,0.25980254554078147
48,60,0.005,0,-999.0,1.5,0,3.3026829336478336,0.3391668260244576,-0.28816821434503714,1.2509788458707585,271,0.21051664391473277,0.21051664391473277,0.00022400974860024045,0.2576316611454769
20,200,0.005,0,-999.0,1.5,0,3.4979205581814528,0.3511134267024798,-0.3142033702922049,1.2370964178053188,278,0.23868528824950122,0.23868528824950122,0.00020518928714259834,0.2558665624466433
48,60,0.0025,0,-999.0,1.5,0,3.3383123141159716,0.3413788887677205,-0.29591304428431786,1.2329646223958484,291,0.22427281318912107,0.22427281318912107,0.00021366841398058376,0.255070597745354
12,200,0.0,0,-999.0,1.5,0,3.622665245237763,0.35853105371189065,-0.3303918230205085,1.2256444118460166,334,0.2689016066365641,0.2689016066365641,0.00018907837022003388,0.2546173627939372
30,120,0.0025,0,-999.0,1.5,0,3.395324120800905,0.3448884449837448,-0.3209999534187721,1.2185580538971172,292,0.239262837341174,0.239262837341174,0.00020304390834866777,0.24531637096921466
12,60,0.005,0,-999.0,999.0,0,3.6962199218472467,0.36283006434646636,-0.3651985223714127,1.2723545161344203,139,0.24270187965977108,0.24270187965977108,0.0001988477209153855,0.24384852896748105
30,200,0.0,0,-999.0,1.5,0,3.7185797720182387,0.3641262407869126,-0.36549640386277626,1.2187167486827464,327,0.27977003045258847,0.27977003045258847,0.0001844299270889884,0.24231387628966178
12,200,0.0025,0,-999.0,999.0,0,3.9797021206037053,0.37891082256632647,-0.395451594221077,1.1837090262246022,99,0.31305785991809304,0.31305785991809304,0.0001636069938222361,0.24037047676701806
12,60,0.0025,0,-999.0,1.5,0,2.7124651602132452,0.30020105256148133,-0.23950198414571522,1.1953235156866355,320,0.2063950435787042,0.2063950435787042,0.0002098443403035829,0.2402162362729555
12,200,0.0025,0,-999.0,1.5,0,3.3453141611454136,0.3418118913471322,-0.32335666177372835,1.197792556585971,310,0.2525202142182085,0.2525202142182085,0.00019280787860344144,0.24002318828956656
30,200,0.005,0,-999.0,999.0,0,3.7939444116511085,0.3684591708296956,-0.3736819920450306,1.156710566515839,71,0.3042633623858028,0.3042633623858028,0.00016408022990761195,0.23945370313297223
48,120,0.0025,0,-999.0,1.5,0,3.4970179793755074,0.3510591607572304,-0.3450257105826974,1.217311361839854,291,0.2483723616507403,0.2483723616507403,0.00019890906974524519,0.23941187355787444
12,60,0.005,0,-999.0,1.5,0,2.6635790861488955,0.2967562849947769,-0.25288142391569157,1.2126411455024522,294,0.19303265777591094,0.19303265777591094,0.00021936190603257975,0.23094763031205373
30,200,0.0025,0,-999.0,1.5,0,3.485460283604702,0.3503635036785544,-0.358830064854457,1.1989492547401113,301,0.2621285309251286,0.2621285309251286,0.00018962296393615615,0.23089593398833147
30,120,0.005,0,-999.0,1.5,0,3.2039497992382397,0.3329594465455372,-0.32876107022146384,1.2093640112889574,272,0.2234852462459309,0.2234852462459309,0.00020964830391676317,0.22904711199925318
20,60,0.0025,0,-999.0,1.5,0,2.6221711596884627,0.2938095865888368,-0.25019655646945216,1.158201946413459,308,0.21088417515488816,0.21088417515488816,0.0002025098293120374,0.2266214056747837
48,120,0.005,0,-999.0,1.5,0,3.3300259959695335,0.3408657301620457,-0.3525122078053736,1.2141418654546292,273,0.23143967237215163,0.23143967237215163,0.0002067734418687317,0.22531671953209034
20,60,0.005,0,-999.0,999.0,0,3.4955162615662356,0.35096885333659267,-0.3748200556598863,1.2198393645288526,120,0.24918618082537017,0.24918618082537017,0.0001892278900955676,0.22455079373309214
48,200,0.005,0,-999.0,1.5,0,3.13381678988757,0.32847894792859456,-0.3248276814130354,1.145104075047544,285,0.2507613147117505,0.2507613147117505,0.0001887014126545839,0.22332031097445404
12,200,0.005,0,-999.0,1.5,0,3.032515072946584,0.32189863915452177,-0.33318994592158524,1.1664988649734047,280,0.23487871469074872,0.23487871469074872,0.00019597044248848778,0.2136286094423994
12,200,0.005,0,-999.0,999.0,0,3.49535639500107,0.3509592381671951,-0.4142859606756477,1.1367819990881582,86,0.292869893940985,0.292869893940985,0.0001639857473586207,0.20065535778377916
