year,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2020,1.1755694566015413,1.1813843889535742,-0.332722812612287,2.057837599535294,73,67,6,0.3286194343321199,0.3723046765611873,0.3504620554466536,0.021842621114533743,1.2886983727470382,-0.014576526029014714,0.00034886091713809745
2021,0.5411165921867316,0.5434072490660011,-0.2581792305564149,1.126993826090784,102,76,26,0.11948317768965076,0.3750799539465268,0.24728156581808877,0.12779838812843802,0.4683242071835254,0.10395378700222979,0.00021493265947984701
2022,0.024098681106442754,0.024182430236357577,-0.335663822519626,0.27599566766400163,85,2,83,-0.303886925795053,0.3465253239104829,0.02131919905771496,0.32520612485276795,-0.06810200672151989,0.14666237312650532,5.465926963314557e-05
2023,0.11115807058645188,0.11156033826003808,-0.2530305962393683,0.5854331631040394,51,38,13,0.13557468908022413,0.24572912395790625,0.1906519065190652,0.05507721743884106,0.3073228167172821,-0.1280927621367315,9.137700370859817e-05
2024,0.06607931585597893,0.06612604016301304,-0.32453667438279576,0.392388390355362,73,57,16,0.19724269724269725,0.3263718263718264,0.2618072618072618,0.06456456456456457,0.15071249064540737,-0.03909953663107779,6.24187306385574e-05
