year,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2020,2.586712118270156,4.198898294543456,-0.05326245884835268,8.162606187103297,318,231,87,0.03502304147465436,0.2961597542242704,0.2947388632872504,0.1674347158218126,1.536161263268371,0.5480605738561444,0.0005770478259335649
2021,14.612123262072176,14.760151885273752,-0.06369908753879194,8.851949201321194,466,300,166,-0.01021337496747333,0.2909055425448868,0.2405672651574291,0.19177725735102785,3.2347814216045654,3.264718635238405,0.0008879493578765935
2022,10.396256905017943,10.491883697994929,-0.061993909426420246,8.119045745844188,436,176,260,-0.24194053208137717,0.4070542915613338,0.13458528951486698,0.4129047791019622,1.304989467901751,4.804067614903293,0.0005810626710469644
2023,0.547897019211637,0.5502211247007021,-0.08285199137091814,2.521016582459335,431,284,147,-0.05800443151918017,0.36814153164381663,0.26561418086137656,0.27586206896551724,0.43151014751364647,0.22042759009849333,0.00014772668506663828
2024,1.911839942995579,1.9139723202004482,-0.0746054298782659,4.970075506175617,462,313,149,-0.016300341296928325,0.34487372013651874,0.29897610921501705,0.23249146757679182,0.9083085899548755,0.7554070000420907,0.00031801572263465247
2025,1.1017035251526464,1.1070710700310111,-0.10375311990603098,3.5514906192839915,390,178,212,-0.23741032998565284,0.41261358201817316,0.15853658536585366,0.4167862266857963,0.3984531151536639,0.7229107732586562,0.00018780721013247697
