year,total_return,annual_return,max_drawdown,sharpe,trades,exposure,avg_bar_return_when_in_position
2020,0.02602990789145232,0.02612045372770222,-0.16107330454859525,0.22877252339459395,318,0.08356164383561644,0.002538324642380444
2021,0.31975780472435256,0.3210158369010432,-0.20878950172203448,1.0577732647182438,307,0.07636986301369864,0.002959203984958117
2022,-0.1334769515069847,-0.13390316459764162,-0.15058997048647826,-1.9368710491308645,41,0.010273972602739725,-0.0053783442700424166
2023,-0.16403007093568678,-0.16454424851518568,-0.1929536407704655,-1.2799655595786654,174,0.04474885844748858,0.0012945866386032845
2024,-0.2866998683156654,-0.2868649112689621,-0.31192542893141506,-2.10929429088929,170,0.045081967213114756,0.0014883198769071258
