ema_len,left,right,train_total_return,train_annual_return,train_max_drawdown,train_sharpe,train_trades,train_win_rate,train_avg_trade,test_total_return,test_annual_return,test_max_drawdown,test_sharpe,test_trades,test_win_rate,test_avg_trade,train_sr_position_ic_24h,train_dist_support_atr_ic_24h,train_dist_resistance_atr_ic_24h,train_sr_range_pct_ic_24h,test_sr_position_ic_24h,test_dist_support_atr_ic_24h,test_dist_resistance_atr_ic_24h,test_sr_range_pct_ic_24h,score
5,8,1,4.186276133764835,0.5095111172118327,-0.32708881776416254,1.2910161985457924,206,0.21359223300970873,0.009167962554730968,1.3388064807786915,1.3401679353033362,-0.11244601644543073,2.3605820195097253,41,0.36585365853658536,0.022440009163450052,0.019018942099025028,-0.050263464869073134,-0.04530419077174529,-0.05348488447134908,-0.08751373600796075,-0.10788028993149917,0.01597117497184066,-0.07622083436655792,1.4019740280561073
5,10,1,1.225944763812421,0.22162553422160802,-0.35919495775904065,0.7749220364926961,186,0.1774193548387097,0.005280497238022232,1.2658225223619417,1.2670922629168295,-0.11244601644543073,2.214145276784776,45,0.3333333333333333,0.01985031328727281,0.010833824146307507,-0.055516561525491004,-0.03354949493888284,-0.05449994564892152,-0.08439980499033739,-0.10967076558528822,0.012116707746797921,-0.09393422061833524,1.321576518533353
5,12,1,0.8030502921395053,0.15889955767716435,-0.36015845002628166,0.624679279171462,169,0.17159763313609466,0.004466357614448883,1.2658225223619417,1.2670922629168295,-0.11244601644543073,2.214145276784776,45,0.3333333333333333,0.01985031328727281,0.01700113895717642,-0.0391227815928061,-0.0353520424910014,-0.05012792456792038,-0.08439980499033739,-0.10967076558528822,0.012116707746797921,-0.09393422061833524,1.321576518533353
7,5,1,1.6032712272519212,0.2704307737785765,-0.32261124935072893,0.8106758438280587,246,0.1951219512195122,0.005005024516603945,1.2093195579978575,1.2105193998072283,-0.05792247918024562,2.384414178161136,53,0.32075471698113206,0.01608789668429996,0.03528784409022563,-0.031670814048555235,-0.04870914931915706,-0.057103496614607285,-0.05505110673048377,-0.08744461866980983,-0.004153791105249247,-0.06116719015936371,1.3007788691251623
7,8,1,2.3011282752527276,0.34820027743763804,-0.3591949577590404,1.033912176634512,194,0.1958762886597938,0.007242155637762582,1.1871728128137784,1.188345526259369,-0.05792247918024562,2.3879909082331383,37,0.3783783783783784,0.02271502981477782,0.026031938602183856,-0.03403593176175211,-0.046403611945385184,-0.04299947140179553,-0.08217368818161759,-0.10805397248562472,0.011035185106443595,-0.06818305865965085,1.278783832080903
7,10,1,1.8541531427310578,0.30001184886756227,-0.35919495775904053,0.877125976659911,167,0.19161676646706588,0.007672614903835855,1.184685402454957,1.1858550785575286,-0.05792247918024562,2.3679206537337527,38,0.3684210526315789,0.022111960759368113,0.02221118838947078,-0.03241666456194983,-0.035890507500710864,-0.033055143050493466,-0.08067505539925376,-0.10848411859238595,0.009411417393611737,-0.0772084408195574,1.2752898716540932
5,15,1,0.6935100233578455,0.14086989138656203,-0.40113231537660654,0.5685889288894369,154,0.14935064935064934,0.004510432194884451,1.020470074712394,1.0214436363226467,-0.057364210242267344,2.2326037152734597,29,0.41379310344827586,0.02607917812223808,0.021838931170367205,-0.022941813864161702,-0.030442277558436055,-0.025794424178614026,-0.07314658215568909,-0.11920003726301069,0.003605566627480711,-0.08281368775249312,1.104391716965186
7,12,1,0.78440673607079,0.15589005589766414,-0.4507832531341308,0.5581655085712682,167,0.1437125748502994,0.004815003154182195,0.9805295641792608,0.981456783302975,-0.05338020927949294,2.313862713859187,29,0.41379310344827586,0.02516554276825495,0.025920346366633186,-0.02586215431270354,-0.03984840824836356,-0.0426803088454938,-0.07108118625830065,-0.11843051209584157,-0.009939983168690922,-0.09521516299555886,1.0704598143561879
5,5,1,0.9939445879316844,0.18844637962674726,-0.44776840821296804,0.6106893485246832,328,0.18597560975609756,0.0031221088932717033,0.9886030988476868,0.9895396414119799,-0.1293393277504299,2.0388947781384585,62,0.27419354838709675,0.0121153574182613,0.004719479907676864,-0.054814392541214174,-0.03348763427337524,-0.04886892830116197,-0.04982335889298321,-0.11635026919945542,-0.01862064392774805,-0.11698709450113129,1.026814716443688
14,10,1,-0.4435608138438416,-0.13640357898422695,-0.5570884152856777,-0.60548708937754,162,0.1111111111111111,-0.003115975006895046,0.7014793189364192,0.7020988378296891,-0.0631770578012184,2.0235731040942184,35,0.2857142857142857,0.016249856383685035,0.03662689425536583,-0.011049175406142031,-0.040399926788387844,-0.049565575884711575,-0.045562219117703535,-0.07906927137146975,-0.015587686941612722,-0.06411908820145519,0.7716889641337907
