ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,regime_filter,regime_fast,regime_slow,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
48,200,0.0,0,-999.0,999.0,1,1,100,200,11.060154213585903,0.6459578243836865,-0.615411080096644,1.2738610102352583,73,48,25,0.19979213303485768,0.42919198379703655,0.31449205841594713,0.11469992538108943,14.100772351394948,-0.17165851254303988,0.00020300308502093267,0.40194533484712747
48,200,0.0,0,-999.0,2.5,1,1,100,200,9.284914241294864,0.5943321087614766,-0.5965434625551276,1.2380780306186465,228,170,58,0.18412216181643748,0.40360835731798317,0.2938652595672103,0.10974309775077284,12.96755732737173,-0.17471839569621406,0.00020642506795137723,0.3579642790148451
48,200,0.01,0,-999.0,999.0,1,1,100,200,7.050236558452424,0.5180490761941119,-0.5896727133829539,1.1741724483831457,64,46,18,0.1817769960558576,0.3471111821767402,0.2644440891162989,0.08266709306044132,7.150585176671594,0.01981348661457738,0.00021037716526708534,0.28192134192179225
48,200,0.0,0,-999.0,1.5,1,1,100,200,5.988739146689383,0.4756910293623695,-0.5015192964191812,1.1183282745882657,387,283,104,0.1560334719113101,0.3468446860675834,0.25143907898944673,0.09540560707813665,7.9360533329150496,-0.05090414443018243,0.00020959278158699189,0.2808477948821922
48,200,0.01,0,-999.0,2.5,1,1,100,200,6.481354703509326,0.49594550278871385,-0.5602809319436304,1.1737210674719336,185,145,40,0.16773265110329388,0.32619123760793095,0.24696194435561242,0.07922929325231852,6.661819540423615,0.07110146435149889,0.00021796611940296085,0.27449109019049533
20,60,0.0,0,-999.0,999.0,1,1,100,200,7.205292492721991,0.5238563592232159,-0.6287851392005361,1.2203513378633624,173,118,55,0.1535284084852361,0.3168905233983584,0.23520946594179726,0.08168105745656114,9.499784786609197,-0.14790201782715418,0.00023039657027807824,0.270481356516116
12,60,0.0,0,-999.0,999.0,1,1,100,200,6.667651893881639,0.5033277154746552,-0.6059664087574288,1.1972649621949152,208,148,60,0.1502771559535231,0.30948193156379916,0.22987954375866113,0.07960238780513805,8.391281561763236,-0.09402659700362892,0.0002304555906856435,0.2602077592056865
48,200,0.005,0,-999.0,999.0,1,1,100,200,6.622309334919327,0.5015442931519558,-0.6117346249844312,1.1264247097639377,68,47,21,0.19062466687986354,0.39278861528621684,0.2917066410830402,0.10108197420317663,7.324876114272085,-0.05271972214721876,0.00018551830035372878,0.2519982161479371
48,200,0.005,0,-999.0,2.5,1,1,100,200,5.874636873756244,0.47083733206069533,-0.577738716278485,1.108860303733685,207,158,49,0.1748747468286963,0.36904381196034536,0.27195927939452086,0.09708453256582454,6.678073714640313,-0.006979519097283005,0.00019064938398389753,0.23741098910813707
12,96,0.0,0,-999.0,999.0,1,1,100,200,5.813879923265392,0.46822650150608447,-0.6215510223912116,1.1227858290987895,175,125,50,0.16424155207333974,0.33879650357104785,0.2515190278221938,0.08727747574885407,7.636460533500552,-0.13886953530377544,0.00020270998525387444,0.21359028176541814
20,60,0.01,0,-999.0,999.0,1,1,100,200,5.097947781680159,0.4359664714268725,-0.5936083547698576,1.1275456721852637,136,96,40,0.14622641509433962,0.26423089222897345,0.20522865366165655,0.059002238567316914,5.5908580291876,-0.009667219805966298,0.00023787726502996596,0.1955395776512069
12,60,0.0,0,-999.0,2.5,1,1,100,200,5.134632557672111,0.4376912424122037,-0.6028509645548213,1.1274378155195803,327,239,88,0.1367391536083573,0.2872561560601215,0.2119976548342394,0.0752585012258821,6.695074404855881,-0.06114043058034491,0.00022786033985742414,0.19263765091077203
