ema_len,left,right,train_total_return,train_annual_return,train_max_drawdown,train_sharpe,train_trades,train_win_rate,train_avg_trade,test_total_return,test_annual_return,test_max_drawdown,test_sharpe,test_trades,test_win_rate,test_avg_trade,train_sr_position_ic_24h,train_dist_support_atr_ic_24h,train_dist_resistance_atr_ic_24h,train_sr_range_pct_ic_24h,test_sr_position_ic_24h,test_dist_support_atr_ic_24h,test_dist_resistance_atr_ic_24h,test_sr_range_pct_ic_24h,score
14,15,1,1.2223266866408533,0.2211284800323663,-0.1840275533058331,0.9276548218410307,108,0.2037037037037037,0.008418214796916583,0.4243937498082868,0.42473891079722725,-0.1175690526479295,1.5141948284618456,34,0.2647058823529412,0.011284675255414841,0.03282054502264324,-0.011863568554233758,-0.0328757952631503,-0.045063837147829,-0.03562005166665531,-0.09093193487743974,-0.02299283449994477,-0.06649724583689061,0.4416641258963548
7,8,1,0.008558650210197527,0.0021342918032034586,-0.3281925069967214,0.12435503852502389,202,0.14356435643564355,0.0006198748097655713,0.43210947574582703,0.4324618067449666,-0.15764093822402037,1.4041195855452173,54,0.2037037037037037,0.00734510791125975,0.016253616426071215,-0.017909858721478402,-0.021660469744303638,-0.030031780935832888,0.0007280929318315468,-0.001999975730530454,-0.023166023627330112,0.03801189727253492,0.42384731691021726
5,10,1,1.2927706281233724,0.2306990290308144,-0.2178428564078132,0.8997770697057446,151,0.1986754966887417,0.006359296698736447,0.4103541190657971,0.4106863070288347,-0.15764093822402037,1.3490317059971726,56,0.19642857142857142,0.0068106207161745995,0.014459553664384357,-0.016631949796369283,-0.015557822263285089,-0.019177438786505713,0.00025711788179205865,-0.001999975730530454,-0.021616939312598997,0.03940208844728707,0.3993174232166831
14,12,1,1.0428529278635499,0.19567293328758217,-0.23205146687227296,0.8361247958137723,130,0.17692307692307693,0.006362853592050462,0.33781126892040403,0.3380779734230823,-0.1175690526479295,1.2738185226662277,33,0.21212121212121213,0.009713221765508689,0.03037860679330661,0.005888990441300719,-0.019170281302349098,-0.008634382465892777,-0.03852330187173749,-0.10829592033974804,-0.020374991732975516,-0.07058587723759917,0.342984373232429
14,5,1,1.0648849126501951,0.19888598491871967,-0.3454690397710829,0.6960895950398,219,0.1598173515981735,0.0042347186568862435,0.20177230825181458,0.2019236072370405,-0.16519510267804993,0.7680454916756634,68,0.16176470588235295,0.0032862765500654505,0.03374935566107533,-0.01674268733350532,-0.03342389468554159,-0.029871078740109275,-0.03505803176746556,-0.054400144516079864,-0.01536048244729152,-0.010283757131951095,0.1577283304817987
10,15,1,0.5903616393522937,0.12307426512157482,-0.2548773432807515,0.5698542240867851,131,0.1450381679389313,0.004443312671391216,0.16868462668554884,0.1688094095343604,-0.1175690526479295,0.8035025545329344,33,0.18181818181818182,0.005422752017171397,0.022029881134225045,-0.014473855210290739,-0.02427885491172883,-0.023744022076006427,-0.026144772619867217,-0.10862949672236835,-0.03086031470487883,-0.07833098190004445,0.15020001093704238
5,8,1,0.7289831614859816,0.14680191246090923,-0.2812057362119954,0.6263328138658485,202,0.16831683168316833,0.003393035696671624,0.15394086665085482,0.15405403975381127,-0.15764093822402037,0.6805465230649397,63,0.15873015873015872,0.002765083999706069,0.02710901479322969,-0.014312657165136952,-0.036088278768165824,-0.0555925887005692,0.005294135307596213,0.004521273408093185,-0.021240636540428702,0.045159285295682396,0.10926089679504808
7,5,1,-0.04279756688277658,-0.010882932749233687,-0.4362572924277047,0.07321862498241982,240,0.14583333333333334,0.0003068777925911541,0.1357000947201401,0.13579908329704016,-0.15764093822402037,0.6380639501516765,57,0.15789473684210525,0.0027254598132529983,0.02359836841421913,-0.005668734843003136,-0.01961469097265231,-0.01836560767747369,-0.016470561362444763,-0.027813910255635222,-0.01262236733561327,0.020194058499690932,0.0888818116926138
7,15,1,0.5994487160472337,0.12467620383523803,-0.19495622659830603,0.6203940595188036,92,0.18478260869565216,0.006122180664740935,0.06062412279850116,0.060666881000131845,-0.09891628559969712,0.4007469160456461,28,0.14285714285714285,0.002700706160185481,0.014728782481036469,-0.010173468280905443,-0.009837995893475044,-0.008140892538951386,-0.027482545901086484,-0.09372194796454811,-0.02366662648883639,-0.06663032438212023,0.031246084002565594
10,5,1,-0.17253472081906673,-0.04627457392704315,-0.41376263253930023,-0.08415295067488986,242,0.13636363636363635,-0.00033616275230415586,0.06309485904902234,0.06313941118070776,-0.143516604546848,0.37755894798695727,56,0.14285714285714285,0.0015299457513174436,0.04061548750011285,0.0008402725337053289,-0.03687407228150258,-0.03987919381276526,-0.009360661392135148,-0.028889757104988208,-0.02178940682055412,0.00971067130778887,0.010259056306631625
