year,total_return,annual_return,max_drawdown,sharpe,trades,exposure,abs_exposure,avg_bar_return_when_in_position
2020,1.2835835212748905,1.2900681911776646,-0.20939898238928967,2.4409127845106333,29,0.4469336320358443,0.4469336320358443,0.00028999226113961355
2021,0.9649393842938976,0.9695025065897078,-0.2327746137611817,1.865735663470249,30,0.3556351541512089,0.3556351541512089,0.0002828689185988278
2022,-0.030865194615937175,-0.03096952926980423,-0.09665739971931242,-0.4788087094841493,4,0.020848056537102474,0.020848056537102474,-0.00015486000668555314
2023,0.21664480772522454,0.21746438409746816,-0.2067824513067018,0.9050897106654034,28,0.2949296159628263,0.2949296159628263,0.0001161665623121491
2024,0.3614413995200829,0.36172914537803225,-0.2086369932120833,1.3247755885075743,33,0.3837018837018837,0.3837018837018837,0.00013053158201553971
