ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,regime_filter,regime_fast,regime_slow,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
48,200,0.0,0,-999.0,999.0,1,1,100,200,9.858205328368948,0.8167470650077171,-0.6031383411600828,1.3992797736012403,63,41,22,0.19791494290915107,0.453020023167301,0.32546748303822604,0.12755254012907496,10.863029959269818,-0.05587625903313653,0.00022705499413795146,0.5851418831077377
48,200,0.0,0,-999.0,2.5,1,1,100,200,8.559864807102949,0.7597417545461407,-0.5922789602478197,1.3729284259627879,191,140,51,0.18269071653152408,0.42660930001654807,0.3046500082740361,0.121959291742512,9.860288404094913,-0.031992580859070086,0.00023163739244429118,0.5322486957203703
48,200,0.005,0,-999.0,999.0,1,1,100,200,6.659038093077746,0.6647405731724088,-0.5886674917152128,1.282410167875072,56,38,18,0.19132881019361245,0.4139334767499586,0.30263114347178555,0.1113023332781731,6.363438265580393,0.06915252136122896,0.00021456812825182861,0.43452733570855595
12,60,0.0,0,-999.0,999.0,1,1,100,200,6.107222046947674,0.6338675559295064,-0.5859788066613587,1.321150096717503,171,120,51,0.14436538143306304,0.3273208671189806,0.23584312427602183,0.0914777428429588,6.429158490343212,0.04208159348036933,0.0002574016742334443,0.40693565743470217
48,200,0.005,0,-999.0,2.5,1,1,100,200,5.939578982569508,0.6241330574207997,-0.5623425734130367,1.2668249016814495,171,128,43,0.17583981466159193,0.38924375310276355,0.2825417838821777,0.10670196922058581,5.66032188316469,0.13438942000311394,0.0002197378659172167,0.4063030157983538
48,200,0.01,0,-999.0,999.0,1,1,100,200,5.698494886388202,0.6098201915658559,-0.5574706315001763,1.2427705690706154,52,39,13,0.18242594737713055,0.3652490484858514,0.273837497931491,0.09141155055436041,4.965035240441224,0.15254713846177226,0.00022717607396355018,0.3932234042692985
48,200,0.01,0,-999.0,2.5,1,1,100,200,5.331435588980976,0.5872678635807089,-0.5274434668329826,1.2487503311623829,152,119,33,0.16872414363726626,0.3436041701141817,0.25616415687572397,0.08744001323845772,4.543664113734506,0.23230984811058453,0.00023536240092622278,0.38598364672233676
48,200,0.0,0,-999.0,1.5,1,1,100,200,5.084685141412726,0.5715503015693442,-0.49561435330066184,1.1996736388713152,327,237,90,0.15412874400132384,0.3665397981135198,0.2603342710574218,0.10620552705609797,5.738691481927732,0.06284575075916043,0.00022735574464575168,0.383726806862579
20,60,0.0,0,-999.0,999.0,1,1,100,200,5.668352495967513,0.6080036447771466,-0.6109302074750074,1.278451545582176,145,98,47,0.14615257322521927,0.33367532682442497,0.2399139500248221,0.09376137679960285,6.621576381036794,-0.05926356042656489,0.00024607549036410973,0.3664611183187518
12,60,0.01,0,-999.0,999.0,1,1,100,200,4.478831608305387,0.5308235575183666,-0.5378029103347457,1.2322778438176465,135,100,35,0.13930167135528712,0.2706271719344696,0.20496442164487838,0.06566275028959126,3.8682037060317915,0.20404139617694805,0.0002697036493385582,0.3235359945418761
