year,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2024,0.8900065274729916,0.8908307762544052,-0.06934606333542659,3.9277427488645165,325,199,126,-0.009583617747440274,0.18929692832764503,0.17283276450511945,0.14006825938566553,0.34325677991874737,0.547281386079806,0.0003263760472672172
2025,0.38311882371811046,0.3846602111391739,-0.05556382175045749,2.132860470726658,282,111,171,-0.14079985652797705,0.24414753706360592,0.09815877570540411,0.26434720229555236,0.17294744124756356,0.28222948117749547,0.00013890167507659288
2026,0.0993452434301687,0.33737758193148637,-0.06049280973571192,1.6448967500798723,100,40,60,-0.18135416666666665,0.2625347222222222,0.08055555555555556,0.3003472222222222,0.05372220217056345,0.07684180841941846,0.00012033687481557001
