ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,total_return,annual_return,max_drawdown,sharpe,trades,exposure,abs_exposure,avg_bar_return_when_in_position,score
48,200,0.0,0,-999.0,999.0,0,10.82749562027464,0.8560551642867564,-0.43959681335320633,1.512409010525214,50,0.3874896574549065,0.3874896574549065,0.00026270131509815596,0.711877208136414
48,200,0.005,0,-999.0,999.0,0,7.082397818733666,0.6873146224124165,-0.37879216186842823,1.3808408335188154,45,0.3601853384080755,0.3601853384080755,0.00024117751842888456,0.5669605831541431
48,200,0.0,0,-999.0,999.0,1,9.372880566225644,0.7960689028970092,-0.610673118370022,1.2967276150833273,88,0.15535330134039385,0.6196260135694192,0.0001748128117917232,0.5555687244661645
30,200,0.0,0,-999.0,999.0,0,6.192764799501075,0.6387685603024644,-0.4364449217406159,1.317171810273385,60,0.3752440840642065,0.3752440840642065,0.0002219622817073746,0.48640468994582575
48,200,0.0,0,-999.0,1.5,0,5.587559875853851,0.6031040866134969,-0.3790271806900981,1.3014359124765265,279,0.3109713718351812,0.3109713718351812,0.00026457200391112416,0.47866229189227416
48,200,0.0025,0,-999.0,999.0,0,5.852252193604174,0.6189922697850623,-0.41368358820652384,1.284633693793423,48,0.37435048816812844,0.37435048816812844,0.00021863542194792466,0.4763821603714715
20,200,0.0,0,-999.0,999.0,0,5.679314892862515,0.6086650102174971,-0.4282040477146054,1.2869099300669666,76,0.36574549065033923,0.36574549065033923,0.00022062581858720468,0.4589084828635427
48,200,0.005,0,-999.0,999.0,1,6.191371740378877,0.6386890986164979,-0.5809010485932377,1.1771416829938506,78,0.1576038391527387,0.5627668376634122,0.0001657184754703896,0.40709565846957163
30,200,0.005,0,-999.0,999.0,0,4.430892879776699,0.527459310063437,-0.3749865754109415,1.2043808605290245,53,0.35045507198411385,0.35045507198411385,0.0002064068196339605,0.40018506538441756
48,200,0.0,0,-999.0,1.5,1,5.143826464077177,0.5753604330575681,-0.5035640840734489,1.1324309037683982,443,0.11745821611782227,0.5044845275525401,0.00018040255350107855,0.3801999362092636
20,60,0.0,0,-999.0,999.0,0,5.181950677883429,0.5778020029466626,-0.5400826469376865,1.326127632646401,120,0.28499089856031773,0.28499089856031773,0.00026557035452509566,0.37406706111013943
20,200,0.005,0,-999.0,999.0,0,4.086791579241378,0.502633561385182,-0.42307234160103513,1.1764145922727356,67,0.3422141320536157,0.3422141320536157,0.00020456419573705524,0.3499181201983012
30,200,0.0025,0,-999.0,999.0,0,3.90047918716314,0.48866227337668944,-0.40877039108776136,1.1397233990122089,57,0.36246897236471953,0.36246897236471953,0.00019135524780447484,0.3412632477834192
12,60,0.0,0,-999.0,999.0,0,4.769075468951772,0.5507342770652008,-0.574779856945289,1.2949617583374635,146,0.27976170776104586,0.27976170776104586,0.00026268013014733003,0.32809243650942954
48,200,0.0025,0,-999.0,999.0,1,5.043327884189788,0.5688693666370492,-0.6052372797677079,1.0981712659240301,84,0.15525401290749627,0.5934469634287606,0.0001487715940573822,0.3211592900493968
48,200,0.005,0,-999.0,1.5,0,3.336099110626101,0.44375377997807397,-0.3709456179698719,1.1230258275543927,255,0.2886314744332285,0.2886314744332285,0.00022828396987068284,0.31443226237085764
12,200,0.0,0,-999.0,999.0,0,4.114554280872943,0.5046824542909241,-0.5162625204486395,1.1524613964077024,94,0.3573390699983452,0.3573390699983452,0.00020061518064406827,0.3041742638869894
20,200,0.0025,0,-999.0,999.0,0,3.5523785084813078,0.4614540653874466,-0.42664406797431165,1.1066565182449648,73,0.35353301340393845,0.35353301340393845,0.00018889434147183561,0.303464857312539
20,60,0.005,0,-999.0,999.0,0,3.7496957515032765,0.4770606946147071,-0.47648452016490117,1.2188586315049046,108,0.26658944232996856,0.26658944232996856,0.00024475428982438766,0.29976136610750176
30,60,0.0,0,-999.0,999.0,0,4.255613856036134,0.5149657699550576,-0.5560422767172017,1.2237412750919814,110,0.29091510838987256,0.29091510838987256,0.0002418555922193595,0.2981316953510558
30,200,0.0,0,-999.0,999.0,1,4.716913263566447,0.5472121971969792,-0.639137801138506,1.0765185620813933,104,0.15164653317888466,0.5988416349495284,0.00014442162519719403,0.28146922473179586
12,60,0.005,0,-999.0,999.0,0,3.498095549832213,0.4570718315490119,-0.49066047690769654,1.1950030062495371,134,0.261591924540791,0.261591924540791,0.00024285217922383054,0.2714917434076405
48,200,0.0025,0,-999.0,1.5,0,2.867033322937652,0.4029615646412321,-0.37094561796987136,1.0471443324459302,269,0.29971868277345687,0.29971868277345687,0.00020902431473895645,0.26984597227859297
20,60,0.0,0,-999.0,999.0,1,4.603480978739286,0.5394690863926075,-0.653298474981866,1.1142078835861147,202,0.1173589276849247,0.45262286943571073,0.00018166894844042538,0.2685302430809802
12,60,0.0,0,-999.0,999.0,1,4.575455192991718,0.537537911570565,-0.649708811213242,1.1166352997259603,242,0.1158696011914612,0.4436538143306305,0.00018548674273454805,0.26851527095024197
48,200,0.005,0,-999.0,1.5,1,3.291200502364152,0.43999666677044424,-0.44603837025754756,0.9977370259671703,394,0.12040377296045011,0.45685917590600694,0.00016571940880374792,0.266864332940029
12,200,0.005,0,-999.0,999.0,0,3.2833998313737185,0.439340905589956,-0.47150818483715884,1.089287114016005,80,0.33437034585470793,0.33437034585470793,0.00019143991945752087,0.25805116887217683
20,120,0.0,0,-999.0,999.0,0,3.529061948630366,0.45957655792446483,-0.5545999678738875,1.1057671965367466,100,0.32483865629654146,0.32483865629654146,0.00020532167710042784,0.2375649338143584
20,60,0.0025,0,-999.0,999.0,0,3.1895131775514987,0.4313772354780736,-0.5009884925638469,1.1287439880676768,115,0.2747972861161675,0.2747972861161675,0.0002240754284342938,0.237320188599534
30,60,0.0,0,-999.0,999.0,1,3.9616394440318112,0.49329183837345814,-0.619613245043364,1.0541881252216458,177,0.11818633129240444,0.4636438854873407,0.00016848668213361763,0.2361946221128584
30,200,0.0,0,-999.0,1.5,0,3.0391145225205802,0.4183366208028476,-0.476610563698993,1.0779131341247958,279,0.30014893264934633,0.30014893264934633,0.00021320280063080187,0.2339269956595909
20,200,0.0,0,-999.0,999.0,1,4.0511926908380484,0.4999940538608383,-0.642509498465562,1.027627778123355,127,0.14863478404765845,0.5828561972530201,0.00014114862338739483,0.230120693534225
12,96,0.0,0,-999.0,999.0,0,3.6312116643416434,0.46774899428345385,-0.6051790212644677,1.1390627428338618,125,0.3033923547906669,0.3033923547906669,0.0002203629091764065,0.2221126207929131
30,60,0.005,0,-999.0,999.0,0,2.982566530659598,0.41333930240629835,-0.5017596573012795,1.101239225345396,102,0.27238126758232667,0.27238126758232667,0.0002185563595675406,0.21752143502292842
20,120,0.005,0,-999.0,999.0,0,2.714296362555611,0.3888790762381078,-0.4671904123106788,1.0262028885465777,89,0.30537812344861825,0.30537812344861825,0.0001913272755389203,0.2065940145100973
12,60,0.0025,0,-999.0,999.0,0,3.0438340836941045,0.4187513260972562,-0.5428925386584695,1.1160128565798146,141,0.26943571073969885,0.26943571073969885,0.00022445477651184293,0.20310569959701213
20,200,0.0,0,-999.0,1.5,0,2.6028692429177167,0.37832898448904717,-0.4566009152223096,1.0151171343517866,285,0.29223895416184015,0.29223895416184015,0.00020537810361714173,0.2007843835954817
48,200,0.0025,0,-999.0,1.5,1,2.7451951857857777,0.3917625432902567,-0.4945662057093284,0.9284288050377097,422,0.11752440840642066,0.48191295714049315,0.0001499029012195512,0.19090088068747801
20,120,0.0,0,-999.0,999.0,1,3.607546068912403,0.4658677592524636,-0.6586447231739376,1.003398144503804,155,0.13622372993546253,0.5134535826576204,0.0001507387530158525,0.186715304890685
12,120,0.0,0,-999.0,999.0,0,3.0692769071379145,0.4209807441843829,-0.5741344995961175,1.0559280779165912,118,0.31656462022174414,0.31656462022174414,0.00019859200846516847,0.18670989828215373
30,60,0.0025,0,-999.0,999.0,0,2.672376272633403,0.38493822076082407,-0.5075538650525293,1.0413948932970327,107,0.28058911136852555,0.28058911136852555,0.0002041856240547082,0.18323103289941106
12,200,0.0025,0,-999.0,999.0,0,2.5832680828252745,0.3764478985560611,-0.48771240607149624,0.9802249893154968,90,0.3450273043190468,0.3450273043190468,0.0001700167586479376,0.1816029449860878
48,96,0.0,0,-999.0,999.0,0,2.86059990225945,0.4023768880033707,-0.5456390478587505,1.008377941003476,84,0.3335429422472282,0.3335429422472282,0.000184752427756675,0.17997626112416923
12,200,0.0,0,-999.0,999.0,1,3.451994164630487,0.4533188501638088,-0.6450908572071028,0.977347993448146,150,0.14522588118484198,0.5694522588118485,0.0001367618549930844,0.1796408212326647
12,120,0.0,0,-999.0,999.0,1,3.474229731309917,0.4551326026459783,-0.65862723111579,0.9959350818269154,180,0.13102763528048983,0.5021016051629985,0.00015145342718621749,0.17561574117942907
30,120,0.0,0,-999.0,999.0,0,2.783443538378644,0.3953072683805017,-0.5424425553133205,0.9996123855604493,87,0.33258315406255173,0.33258315406255173,0.0001829361801244694,0.17406661000186388
48,120,0.0,0,-999.0,999.0,0,2.4642236983700245,0.36485465497336445,-0.48075039491926375,0.9395435240840317,73,0.34714545755419496,0.34714545755419496,0.00016861894740455893,0.17145663371793415
12,96,0.005,0,-999.0,999.0,0,2.670216259905298,0.38473424890813135,-0.5367654594790188,1.040180652130395,113,0.28482541783882176,0.28482541783882176,0.00020160890580704286,0.1683605517751417
30,200,0.005,0,-999.0,999.0,1,3.1595950991849735,0.4288114227370341,-0.619191182154698,0.9562308990071617,91,0.15409564785702465,0.546814496111203,0.00013475999602629665,0.16702737661004316
12,96,0.0,0,-999.0,999.0,1,3.3374503320576636,0.44386639716379195,-0.6693651648064306,0.9873767380821519,199,0.12646036736720173,0.48032434221413206,0.0001553004564390413,0.15855265166468424
12,200,0.0,0,-999.0,1.5,0,2.1464743464835823,0.3323755466597986,-0.46681851894285153,0.9387814127452216,294,0.28604997517789177,0.28604997517789177,0.0001935072028271077,0.14590535782563394
48,120,0.005,0,-999.0,999.0,0,2.1749137888202794,0.3353801860758936,-0.47983949604361875,0.9143822321295261,66,0.3256991560483204,0.3256991560483204,0.00016600746114706826,0.1411795496605605
12,120,0.005,0,-999.0,999.0,0,2.238012765494973,0.34197526736799766,-0.49949268962180227,0.9547439388087722,103,0.2974350488168128,0.2974350488168128,0.0001799394821475217,0.13996611949753512
48,96,0.005,0,-999.0,999.0,0,2.252527575701658,0.3434786995121142,-0.508669461841146,0.9380769397149997,76,0.31328810193612444,0.31328810193612444,0.0001735527922336883,0.13604781557729115
12,60,0.005,0,-999.0,999.0,1,2.947925817683065,0.4102516672470016,-0.6532103839473697,0.9747264026092956,218,0.11901373489988416,0.40417011418169785,0.00016943929453499642,0.13238279540378148
30,200,0.005,0,-999.0,1.5,0,2.048173537163567,0.32183060393912366,-0.4766105636989929,0.9406638994206783,255,0.2798279000496442,0.2798279000496442,0.00018877320615683213,0.13055851706066113
20,120,0.0025,0,-999.0,999.0,0,2.186785910736478,0.33662851334105115,-0.5061145419409044,0.9289012969085785,96,0.3138838325335098,0.3138838325335098,0.00017151164368272063,0.13001630721602786
20,60,0.005,0,-999.0,999.0,1,2.9733330691141218,0.4125182693645002,-0.666876642666719,0.9735644613437842,180,0.12003971537315902,0.4131391692867781,0.00016585326771018826,0.12775817109832993
12,200,0.005,0,-999.0,1.5,0,1.6565369722583219,0.2770984546844233,-0.386720616962707,0.8647086256268384,266,0.2677809035247394,0.2677809035247394,0.00017843598357192758,0.1269735774844117
30,200,0.0025,0,-999.0,999.0,1,2.823394476748546,0.39898121407460674,-0.6390956125696333,0.9159962990537748,98,0.1509184180043025,0.5740195267251366,0.0001248301878954423,0.12523322274247883
30,200,0.0,0,-999.0,1.5,1,2.309904358898078,0.3493729572153952,-0.5474051286474086,0.8709517866292499,446,0.11418169783220254,0.48611616746649017,0.0001405850833827693,0.11921798222315336
12,60,0.0025,0,-999.0,999.0,1,2.712314828779799,0.38869354751434293,-0.6343670869641227,0.9385410801518923,230,0.11447956313089525,0.4243918583485024,0.000158479644744642,0.1184370580398762
20,200,0.005,0,-999.0,1.5,0,1.7912358502541297,0.2930100733299188,-0.4566009152223104,0.889607189106304,260,0.2732417673341056,0.2732417673341056,0.00018192856029261174,0.1091899751740788
20,200,0.005,0,-999.0,999.0,1,2.5320908083437734,0.3714998862441248,-0.6165520868774146,0.8867556069337381,111,0.15167962932318385,0.5327486347840477,0.00012787462836185025,0.1075616231521044
20,60,0.0025,0,-999.0,999.0,1,2.621082222810524,0.3800699856706331,-0.6456726068991976,0.9228190548299393,191,0.11606817805725633,0.4335263941750786,0.00015279831821489958,0.10337463496253127
12,96,0.0025,0,-999.0,999.0,0,2.250153764375967,0.3432331665689947,-0.5806299301689637,0.957780604100283,120,0.2928346847592255,0.2928346847592255,0.00018397956086958647,0.10080723168952702
30,200,0.0025,0,-999.0,1.5,0,1.7749383415030873,0.291115924016804,-0.47661056369899235,0.875065291036239,269,0.28912791659771636,0.28912791659771636,0.00017377066072461853,0.09656390671911974
30,120,0.005,0,-999.0,999.0,0,1.851387009058552,0.29993006894104757,-0.49839878778266444,0.8637239472504623,80,0.3124606983286447,0.3124606983286447,0.0001596456973513646,0.09391687241223846
48,60,0.0,0,-999.0,999.0,0,2.2429495924336984,0.3424871857795979,-0.5933730398675843,0.9285574408826199,101,0.30448452755254013,0.30448452755254013,0.00018024754667036427,0.09222853788993678
30,96,0.0,0,-999.0,999.0,0,2.191838536258351,0.3371587282592392,-0.591849173406738,0.9097654170801561,98,0.3179877544266093,0.3179877544266093,0.0001730197488132393,0.08672241240987799
