year,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position
2020,1.2422638469191503,1.2484901839595284,-0.29495862827545893,2.401282751851121,26,24,2,0.44441332959955193,0.4718566227947354,0.45813497619714366,0.013721646597591711,1.4837808250106321,-0.08587942672480231,0.00026856663993868665
2021,0.847322063527451,0.851219610303672,-0.2609470015740152,1.700932335008535,31,31,0,0.3649737751055392,0.3649737751055392,0.3649737751055392,0.0,0.8761858886949119,0.0,0.0002548401323970908
2022,-0.012067934270180158,-0.012109124421273654,-0.33663622141128635,0.20500281551500144,43,0,43,-0.4161366313309776,0.4161366313309776,0.0,0.4161366313309776,0.0,0.008903309537808157,3.199666642480454e-05
2023,0.07946511903165288,0.07974861095871688,-0.18962456164321406,0.5271548773694589,26,25,1,0.21456881235479022,0.22276889435561023,0.21866885335520023,0.004100041000410004,0.10167028728132665,-0.007331553808009428,6.706482870413236e-05
2024,0.45793939008995843,0.45831593064514653,-0.26001674621542703,1.4489201477833642,30,30,0,0.39598689598689596,0.39598689598689596,0.39598689598689596,0.0,0.47997887405922746,0.0,0.00015302200192537365
