threshold,total_return,annual_return,max_drawdown,sharpe,trades,exposure,abs_exposure,avg_bar_return_when_in_position
rule_only,0.464409124017658,0.4647917778006261,-0.20001810659555086,1.4918189806937785,36,0.3214936247723133,0.3214936247723133,0.00015553133866662392
0.4,0.10113635691005007,0.1012090212580865,-0.1948773995723304,0.6035919879167844,16,0.1428734061930783,0.1428734061930783,9.737319905202296e-05
0.45,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
