ema_len,left,right,train_total_return,train_annual_return,train_max_drawdown,train_sharpe,train_trades,train_win_rate,train_avg_trade,test_total_return,test_annual_return,test_max_drawdown,test_sharpe,test_trades,test_win_rate,test_avg_trade,score
7,15,1,-0.46596347696579965,-0.14523625908174842,-0.5250818062019975,-0.4930418624832731,287,0.12195121951219512,-0.0017631077621195913,0.22706380985453078,0.22723579924409587,-0.13740354386531717,0.909438949502854,64,0.171875,0.003692751192236686,0.20400597478658
5,8,1,-0.5275998388721761,-0.17106258881339131,-0.5627888588235183,-0.5725637116061821,373,0.1260053619302949,-0.0016481950035181693,0.12271204671106428,0.1228010576420111,-0.15658120359789485,0.5516966871590794,86,0.1511627906976744,0.0017619100052842442,0.07209529020101765
5,5,1,-0.028418083214791223,-0.007186413393267199,-0.41678918186269354,0.11875439370828861,408,0.15196078431372548,0.0003536416621790726,0.09161008933393355,0.09167562809622143,-0.15187864258629236,0.4423115054564803,104,0.14423076923076922,0.0012171230724797749,0.03785188207589926
7,20,1,-0.5348864019044324,-0.174279942059701,-0.5665729365610002,-0.7153698677324037,269,0.11524163568773234,-0.002472833496932731,0.05151589491136255,0.051552074041818274,-0.12080936801761588,0.32655195492812633,58,0.13793103448275862,0.0012929854968798413,0.007474987779416652
5,20,1,-0.544377280368372,-0.17852777302196265,-0.5609352646924841,-0.6919177458052437,282,0.1099290780141844,-0.0023969410106503006,0.03231114977066696,0.03233363468805783,-0.11513525867965013,0.24960819887116445,55,0.14545454545454545,0.0009749871586250171,-0.01275358470820901
5,30,1,-0.380213738773462,-0.11279309899846002,-0.47134209517219916,-0.38210955982694694,253,0.1225296442687747,-0.0014632765630700714,0.03231114977066696,0.03233363468805783,-0.11513525867965013,0.24960819887116445,55,0.14545454545454545,0.0009749871586250171,-0.01275358470820901
7,5,1,-0.47093633989328043,-0.1472344675332813,-0.5628884813654482,-0.42994012343150706,384,0.13541666666666666,-0.0012678731094588537,0.07923286978483302,0.07928923565916768,-0.2383987825129832,0.39924801198113397,96,0.13541666666666666,0.0012136769882217558,-0.019947754998267217
5,10,1,-0.48872837271194913,-0.15450112375495206,-0.5268129225779816,-0.4731247279683312,342,0.11988304093567251,-0.0015411470185865343,0.02044154306060575,0.020455686351884994,-0.15658120359789485,0.20614932746133288,94,0.13829787234042554,0.0006266180842151864,-0.04752744907399578
20,15,1,-0.024385064055582717,-0.006157020479711228,-0.39550109173618975,0.09214321076656681,245,0.11836734693877551,0.0003794020163289109,-0.004988124381676617,-0.004991532364163831,-0.13705712541467308,0.06795775892323162,54,0.12962962962962962,0.00024783723606432417,-0.07012220712533879
20,10,1,0.09964704159746995,0.024048183330000583,-0.30273436582280533,0.21182239693750854,247,0.1214574898785425,0.000899513025642098,-0.004988124381676617,-0.004991532364163831,-0.13705712541467308,0.06795775892323162,54,0.12962962962962962,0.00024783723606432417,-0.07012220712533879
20,12,1,-0.016763607780863832,-0.004220390667201479,-0.36475418475972676,0.1003417614784022,240,0.12083333333333333,0.00042314495285186715,-0.004988124381676617,-0.004991532364163831,-0.13705712541467308,0.06795775892323162,54,0.12962962962962962,0.00024783723606432417,-0.07012220712533879
7,12,1,-0.4299835582409911,-0.13117952808744138,-0.4578846446816456,-0.38792140690072446,310,0.12258064516129032,-0.00136796022539052,0.00849808050836498,0.008503925790607436,-0.18933919169177438,0.15813960109240444,80,0.1375,0.0005326463019436192,-0.07825869000065953
5,12,1,-0.49255656395539693,-0.1560893600589952,-0.5232052486543365,-0.49477242161220886,319,0.11912225705329153,-0.0016940385092757328,-0.0350244720165116,-0.03504803599336326,-0.14998527689208174,-0.013475893993387607,84,0.13095238095238096,-4.180667514338172e-05,-0.11071446913907351
20,8,1,-0.11945757725754058,-0.031324957451733915,-0.3146307989252236,-0.007185782063464696,263,0.12167300380228137,-2.779108280832238e-05,-0.044625888526415136,-0.04465576134847582,-0.17143372630894882,-0.14209855013783465,52,0.11538461538461539,-0.0005322597876853749,-0.13747755200984196
7,8,1,-0.48049703748467953,-0.15111608113715014,-0.5389249722632831,-0.4450502613408664,356,0.12921348314606743,-0.0014192917247611556,-0.023373623497138007,-0.02338944412711974,-0.2383987825129832,0.060822687845808285,101,0.12871287128712872,0.00017908698545458803,-0.1395477009913209
7,30,1,-0.4169576215442391,-0.1262545829419468,-0.4892719784708197,-0.48042546396658103,238,0.12605042016806722,-0.0018556509710755576,-0.06060288026122451,-0.06064310423764474,-0.14410455200001326,-0.2283579480511071,57,0.14035087719298245,-0.000782167978211368,-0.14411327764020673
5,15,1,-0.4606600624341153,-0.14312054280261455,-0.543691767881719,-0.46828178972456364,293,0.11604095563139932,-0.0016750566318937607,-0.059243239302177675,-0.05928258960186883,-0.1638215603090294,-0.14885020611275115,71,0.14084507042253522,-0.0004923402197734111,-0.14863588006202108
10,15,1,-0.5269811658206436,-0.17079113425282955,-0.5378389915246229,-0.5673158671581303,297,0.09427609427609428,-0.002069373234087778,-0.02935007302557735,-0.02936987767480681,-0.24773862162447358,-0.03033165849915536,65,0.12307692307692308,-0.00010300453229456709,-0.15475577141200136
10,20,1,-0.4458224316937789,-0.13728303185888158,-0.4585432009548236,-0.4760354387801514,261,0.10344827586206896,-0.0018226329978809624,-0.02935007302557735,-0.02936987767480681,-0.24773862162447358,-0.03033165849915536,65,0.12307692307692308,-0.00010300453229456709,-0.15475577141200136
20,30,1,-0.07556353171237384,-0.01946426819620317,-0.36967132541635994,0.022679470328034333,212,0.1179245283018868,9.91819599295264e-05,-0.07857962069708135,-0.07863126859099778,-0.18832273823830714,-0.3705607705910132,49,0.12244897959183673,-0.0013580441685128832,-0.191320676239702
14,20,1,-0.21176178555442504,-0.057792241935204824,-0.4657440942068972,-0.10974266955963988,254,0.11811023622047244,-0.00044786899986917696,-0.08248867837872853,-0.0825427787559403,-0.18782805741146946,-0.3445200361267614,59,0.1016949152542373,-0.0011483433507138664,-0.1936828092680131
14,30,1,-0.23403431777659722,-0.06452432115336637,-0.4657440942068972,-0.15585040406560516,236,0.11864406779661017,-0.0006516184629053597,-0.08153973181606178,-0.08159323788592143,-0.1890204232233218,-0.35908815517015424,58,0.10344827586206896,-0.0011726629335098466,-0.19405785725609004
7,10,1,-0.47850844190706676,-0.1503043320848917,-0.49047892602889487,-0.46137018304000105,328,0.125,-0.0015543765952461992,-0.07151331723592247,-0.07156050302810169,-0.2383987825129832,-0.13173552134145863,98,0.12244897959183673,-0.0003774569233979595,-0.1973466703516662
30,30,1,-0.24103605613943258,-0.06667096614118151,-0.409660073441379,-0.2307569618146232,205,0.1073170731707317,-0.0009451167614866053,-0.05921552407072983,-0.05925485654718232,-0.2582112340613004,-0.2175407509406514,63,0.1111111111111111,-0.0006781323312651755,-0.1992375111248651
10,30,1,-0.42672374120748646,-0.12993917822851175,-0.4596176573400912,-0.47961135210037265,237,0.10548523206751055,-0.001913913757275059,-0.08460220916103123,-0.08465763078426702,-0.23199895482028132,-0.3606856536738636,62,0.12903225806451613,-0.0011339342024534675,-0.21869139087810086
14,12,1,-0.25222517871202077,-0.0701324443561614,-0.4181753593567664,-0.14746659403551832,285,0.11578947368421053,-0.000553807953973578,-0.10129245811579046,-0.10135819531397705,-0.2044729771603293,-0.4486226257811963,62,0.0967741935483871,-0.001425608090427704,-0.22602581518320153
14,15,1,-0.26285310507246984,-0.07345646301771336,-0.42512600224172736,-0.1627039933839486,272,0.11397058823529412,-0.0006377446315870855,-0.10129245811579046,-0.10135819531397705,-0.2044729771603293,-0.4486226257811963,62,0.0967741935483871,-0.001425608090427704,-0.22602581518320153
10,5,1,-0.5538930067122401,-0.1828538661285265,-0.5888036967228707,-0.6550766275978493,356,0.11797752808988764,-0.0019140837728490625,-0.08140387432391272,-0.0814572952537812,-0.28925023632953095,-0.2308762604271523,83,0.10843373493975904,-0.000680100536108772,-0.2376262264399043
20,20,1,-0.06163838959179968,-0.015789878723504125,-0.3877752833324626,0.048487696949981576,234,0.11965811965811966,0.0002032613189301014,-0.11827208082190732,-0.11834809442061955,-0.1883227382383068,-0.6109430923986987,54,0.1111111111111111,-0.002044056299083813,-0.2430566181597079
30,8,1,-0.3087129167811137,-0.0882261028491006,-0.38995256382514587,-0.29392823749654023,250,0.112,-0.0010825946269981785,-0.11905172139454667,-0.11912820149864978,-0.25431732496370185,-0.5632372385997079,67,0.1044776119402985,-0.0016264122327726087,-0.2744487259104861
30,10,1,-0.3086079485297907,-0.08819146911475284,-0.3813373465772474,-0.3277860865724709,222,0.1036036036036036,-0.001273674339743799,-0.11905172139454667,-0.11912820149864978,-0.25431732496370185,-0.5632372385997079,67,0.1044776119402985,-0.0016264122327726087,-0.2744487259104861
30,12,1,-0.37472055687540984,-0.11083242113586789,-0.4404953910135775,-0.4425570627988713,233,0.09871244635193133,-0.0016427804718438092,-0.12212955712337181,-0.12220787425766477,-0.2582112340613002,-0.5640229126518971,71,0.09859154929577464,-0.0015722976910029632,-0.2795146369209097
30,15,1,-0.32825705771273017,-0.09474446367436795,-0.42206784696645294,-0.3699677369181467,218,0.10091743119266056,-0.001441923154517031,-0.12212955712337181,-0.12220787425766477,-0.2582112340613002,-0.5640229126518971,71,0.09859154929577464,-0.0015722976910029632,-0.2795146369209097
30,20,1,-0.31004473476057826,-0.08866587212662935,-0.42206784696645294,-0.3388271547113562,209,0.10047846889952153,-0.0013765607205693845,-0.12212955712337181,-0.12220787425766477,-0.2582112340613002,-0.5640229126518971,71,0.09859154929577464,-0.0015722976910029632,-0.2795146369209097
10,8,1,-0.5618967280658831,-0.18654646596135793,-0.5883258117653065,-0.5830824208290358,342,0.10526315789473684,-0.001966509903030585,-0.1330207989338017,-0.13310555702630178,-0.2892502363295306,-0.5454148189989175,81,0.1111111111111111,-0.0014782706548309875,-0.30500141614101295
14,5,1,-0.18422305636974223,-0.049662832465284024,-0.5744313417443991,-0.012606081254502258,339,0.11799410029498525,-4.740311053999532e-05,-0.1556872667199113,-0.15578512748599516,-0.2483720954839299,-0.5785869905869769,91,0.0989010989010989,-0.0015490839791133758,-0.30890052475730895
30,5,1,-0.34387631409886377,-0.10005681831567248,-0.409967556107944,-0.34821831502315387,274,0.10948905109489052,-0.0011745660473759492,-0.16153638502450518,-0.1616375597077413,-0.28208030598144296,-0.8303957093201041,67,0.08955223880597014,-0.0023702960645182397,-0.344197498164468
10,12,1,-0.45829788306764574,-0.1421832063701235,-0.5099343068580978,-0.4134766001693121,304,0.10526315789473684,-0.0015359647458531279,-0.20353858853443796,-0.20366272678988717,-0.26193708682882955,-0.8688920862999618,80,0.1,-0.002524210038871108,-0.3780758745193
10,10,1,-0.509585992713232,-0.16326539471392776,-0.5627714487516731,-0.4915388325974729,326,0.10736196319018405,-0.0017248640618520103,-0.21229452059705456,-0.21242325730816858,-0.2741578171408724,-0.8739022044131088,90,0.1,-0.0023437746568963445,-0.39319727609926025
20,5,1,-0.15187482272240027,-0.040372380885450254,-0.35105497894300663,-0.04096906869360173,279,0.12903225806451613,-0.00015072014400989087,-0.22051753755899361,-0.22065053212843178,-0.24764180026124427,-1.0393833450353844,78,0.10256410256410256,-0.002904344079604847,-0.3964405995108231
14,10,1,-0.25851918963212495,-0.07209666462156927,-0.5190367984520521,-0.13461362937249394,298,0.1174496644295302,-0.0005094068986658428,-0.2371857220504412,-0.23732716432061562,-0.27081916615499235,-1.193308258337566,75,0.09333333333333334,-0.0033321110619431177,-0.4324021603149901
14,8,1,-0.3143749981678987,-0.09010014847213332,-0.521990112746032,-0.188117362619661,320,0.115625,-0.0006860863372205029,-0.27520184623002153,-0.275361612889488,-0.311057140208973,-1.3553246287169476,88,0.09090909090909091,-0.003394748782509463,-0.4986564144298219
