ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,regime_filter,regime_fast,regime_slow,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
12,120,0.0,0,-999.0,999.0,1,1,100,200,3.4343147158541347,0.4518718871309415,-0.3437286771927668,1.2236789190113113,124,79,45,0.13209386985633492,0.3700838588051745,0.2510888643307547,0.11899499447441982,4.147623538423354,-0.08345724969822876,0.000163210646727163,0.3411914944851237
12,96,0.0,0,-999.0,999.0,1,1,100,200,3.2255948711497187,0.4344534397570812,-0.3632797207132604,1.202204883280833,136,82,54,0.13076122992914255,0.35314958070597413,0.24195540531755835,0.11119417538841578,4.139318013780283,-0.11992076346649039,0.00016634032587975215,0.3129238235644926
30,96,0.0,0,-999.0,999.0,1,1,100,200,3.1102078908556505,0.4245454784077205,-0.356814722663334,1.1656946628031475,101,65,36,0.13436910875641941,0.37502437755964374,0.2546967431580316,0.12032763440161216,3.770583853053962,-0.0937884128582922,0.00015394078043470854,0.30442285021621085
30,96,0.01,0,-999.0,999.0,1,1,100,200,2.94867000598791,0.4103182121396165,-0.3525944493388611,1.1941701733511252,69,44,25,0.11463953715140089,0.28859780276929076,0.20161866996034583,0.08697913280894494,3.5127108391304906,-0.09426689567387869,0.00018896065509274368,0.29372949613774224
20,96,0.0,0,-999.0,999.0,1,1,100,200,2.94226658496905,0.4097453139929581,-0.3687683633881106,1.1465231939119522,119,73,46,0.13167132548917637,0.3636156796463629,0.24764350256776962,0.11597217707859325,3.785164261265199,-0.12562824033241415,0.00015515710027886142,0.28268729199450043
20,120,0.0,0,-999.0,999.0,1,1,100,200,2.794867526982974,0.3963607921835981,-0.35926921926227406,1.1093049848414354,108,70,38,0.13440161216927776,0.38077748163557174,0.25758954690242475,0.12318793473314699,3.478845910996534,-0.10568963229161943,0.0001452894958803219,0.27219143179453287
48,200,0.0,0,-999.0,999.0,1,1,100,200,2.9395650596138645,0.40950340599099855,-0.39613378210092676,1.0824106070166404,69,47,22,0.15611389195865566,0.44344406162647076,0.2997789767925632,0.14366508483390755,3.3218319659275464,-0.05644481330443796,0.0001299872873073256,0.2655570452913672
12,120,0.0,0,-999.0,2.5,1,1,100,200,2.610776351019007,0.37908564321618066,-0.35247909041261294,1.119308777119699,241,166,75,0.11795488526295261,0.3428134954170188,0.2303841903399857,0.1124293050770331,3.703136364364715,-0.13391884104834717,0.00015941120760486655,0.2588115368658591
12,120,0.01,0,-999.0,999.0,1,1,100,200,2.664036838017754,0.3841502233963021,-0.39195280597182336,1.1450612717706445,78,48,30,0.11220178118702463,0.2847298966391471,0.19846583891308586,0.08626405772606123,3.693277170662425,-0.18824429618296967,0.00018307162421692466,0.24542688399892265
48,60,0.0,0,-999.0,999.0,1,1,100,200,2.6694756167701037,0.38466428862377366,-0.3884365008090904,1.095757750000527,106,66,40,0.13453162582071118,0.36309562504062926,0.24881362543067023,0.11428199960995905,3.644828670960763,-0.16697569903019727,0.00014851891409831418,0.2452339257192548
12,96,0.0,0,-999.0,2.5,1,1,100,200,2.4177256551401665,0.3602452299263239,-0.3510523142910683,1.0910160016369104,250,167,83,0.11691477605148541,0.3264317753364103,0.22167327569394787,0.10475849964246246,3.6420365981786667,-0.16568697291147017,0.00016151442048871804,0.23926987286263526
30,96,0.01,0,-999.0,2.5,1,1,100,200,2.4387854812966743,0.362338711234242,-0.36144465540236204,1.1303569990067568,160,119,41,0.1024507573295196,0.26867321068712213,0.18556198400832088,0.08311122667880128,2.9692908153647037,-0.061478096942845006,0.00018861275731270682,0.23813423348339882
30,60,0.0,0,-999.0,999.0,1,1,100,200,2.768351409863662,0.39391180512118407,-0.42490420060939016,1.1282144126736542,128,75,53,0.12877852174478321,0.34655138789572904,0.23766495482025612,0.10888643307547292,3.9176866952732965,-0.18305590750610556,0.0001579930355273963,0.2378704254501717
20,96,0.01,0,-999.0,999.0,1,1,100,200,2.669663924463785,0.3846820769517756,-0.4092037807662484,1.1505293637972247,81,48,33,0.11135669245270753,0.28011441201326137,0.19573555223298447,0.08437885978027693,3.7612056403377947,-0.19739348950215485,0.00018609099555057777,0.23760665475851261
