ema_fast,ema_slow,trend_threshold,use_macd,volume_filter,funding_z_cap,allow_short,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
20,200,0.01,0,-999.0,1.5,1,2.791050086747525,0.39600901147054923,-0.35680111669340464,1.0379898911591023,309,182,127,0.055028277969186766,0.3357927582396152,0.19541051810440097,0.1403822401352142,3.1051378347553573,0.07782203067091875,0.00018164597052648817,0.26950794768180203
12,200,0.01,0,-999.0,1.5,1,2.605734473232605,0.3786033120494052,-0.37825287135418695,1.0109926231566133,312,183,129,0.05463823701488656,0.33091724631086267,0.1927777416628746,0.13813950464798805,2.7049573542195575,0.1375681157341888,0.00017909351149365135,0.24002650753014243
48,200,0.01,0,-999.0,1.5,1,2.27073838664431,0.34535786312888184,-0.39331192540192084,0.938883400181844,312,185,127,0.055028277969186766,0.34801404147435483,0.2015211597217708,0.14649288175258401,2.590256035059499,0.06484714157406013,0.00016327922876376697,0.19564607043701362
48,120,0.01,0,-999.0,1.5,1,2.066861505474179,0.32385472987053454,-0.3553474548281792,0.9148940186570329,302,181,121,0.052818045894818956,0.32799193915361113,0.19040499252421506,0.13758694662939608,2.7783286246888315,-0.05596237696184658,0.0001638589863389694,0.1919257033892966
30,96,0.01,0,-999.0,1.5,1,2.2299555962854702,0.34113853063810207,-0.40210975228812684,0.9621820612188292,307,180,127,0.051972957160501855,0.30660469349281677,0.1792888253266593,0.12731586816615745,3.222325376831705,-0.10808035611442379,0.00017851064982342125,0.1881927575549801
30,200,0.01,0,-999.0,1.5,1,1.9454310418657226,0.31053309417620456,-0.35559029052708124,0.8827384559936025,314,184,130,0.054735747253461614,0.34141584866410973,0.19807579795878566,0.14334005070532405,2.4147513064020543,0.009232122520749453,0.00015545234876879473,0.17687487171234406
48,96,0.01,0,-999.0,1.5,1,2.1252027906857727,0.3301148613729876,-0.4168657614319299,0.9330829917149888,303,178,125,0.0512903854904765,0.31768835727751416,0.18448937138399532,0.1331989858935188,3.2394471131122824,-0.1422098597187258,0.00017002251464143673,0.1683361302427721
12,96,0.01,0,-999.0,1.5,1,1.9534665074599338,0.31142722587506366,-0.39560171538460265,0.9145255028520232,314,181,133,0.052525515179093804,0.28999544952219986,0.1712604823506468,0.11873496717155302,3.0077109322163222,-0.1377425677834413,0.00017760394088179365,0.1593526433253635
48,96,0.01,0,-999.0,999.0,1,2.2312135256438252,0.34126926955578263,-0.46401337978889734,0.8849910494206533,84,43,41,0.07157251511408698,0.39485145940323735,0.23321198725866216,0.1616394721445752,3.80119947084156,-0.29812327917974546,0.00014258036975897974,0.15351213213236664
20,200,0.01,0,-999.0,999.0,1,2.5319495541829253,0.3714861551037272,-0.5350330361565216,0.9227929761050383,80,43,37,0.07443281544562179,0.4161086914125983,0.24527075342911006,0.17083793798348826,3.5986562140576455,-0.20060823159303087,0.00014402152575483288,0.15010928583071828
30,96,0.01,0,-999.0,999.0,1,2.1970491241180197,0.33770486089966556,-0.496002706722078,0.883467945467841,99,51,48,0.07108496392121173,0.38162257036988884,0.22635376714555028,0.15526880322433856,3.9723405236869924,-0.32439726431985094,0.0001462481488064604,0.1338769048120186
48,120,0.01,0,-999.0,999.0,1,2.126203501420897,0.3302214724462056,-0.49557700896858803,0.8635700900265219,75,42,33,0.07368523694987973,0.40658519144510175,0.24013521419749073,0.166449977247611,3.009805250093689,-0.1905610830379426,0.00013658492372966156,0.12561147246323767
20,120,0.01,0,-999.0,1.5,1,1.8887569735470833,0.3041742995103889,-0.46639601807269426,0.8898337352482112,311,180,131,0.052167977637651956,0.311545212247286,0.18185659494246895,0.129688617304817,3.108156372130753,-0.1784883596769814,0.0001646132953468569,0.1154679772364523
12,96,0.01,0,-999.0,999.0,1,1.9497140793676513,0.31100990858067235,-0.4836550271815623,0.8460936720004142,125,62,63,0.07017486836117792,0.36004030423194433,0.21510758629656113,0.1449327179353832,3.8963699779059686,-0.35870790287968213,0.00014736834403394404,0.11148707858991191
20,96,0.01,0,-999.0,1.5,1,1.8405362307241058,0.29868990227313685,-0.4634163628823956,0.885717697787815,311,178,133,0.05226548787622701,0.2982513163882208,0.17525840213222388,0.12299291425599689,3.0035006990771977,-0.17108479685142353,0.0001689492644155275,0.1112676057213298
12,200,0.01,0,-999.0,999.0,1,2.0162077369299314,0.31834666228654385,-0.5191380197542536,0.8434971473484855,90,50,40,0.07352271988558799,0.4099980497952285,0.24176038484040824,0.16823766495482026,2.8193113550208624,-0.17391578296993282,0.00013361825366239153,0.10095250977684134
48,96,0.01,0,-999.0,2.5,1,1.6804079491062365,0.27996168352689477,-0.449562539329901,0.804591844301909,206,126,80,0.061691477605148544,0.36871871546512386,0.2152050965351362,0.15351361892998766,4.151387327240078,-0.4232066954418259,0.0001363963595742143,0.09541000607703973
12,96,0.0,0,-999.0,1.5,1,1.4478915768736345,0.25121310292614796,-0.3916803839809019,0.7729791069091065,445,240,205,0.04563479165312358,0.3854254696743158,0.21553013066371968,0.1698953390105961,3.6939168869028602,-0.348504424900264,0.00012739150956171975,0.09402186628115235
12,200,0.0,0,-999.0,1.5,1,1.6462095192797652,0.2758537380584609,-0.4493992174696796,0.8013880842789605,454,253,201,0.04911265682896704,0.4484495872066567,0.24878112201781186,0.19966846518884482,2.9118223091836817,-0.1511037597969347,0.00011889729541329766,0.09122353353756915
30,120,0.01,0,-999.0,1.5,1,1.6236478934141667,0.273121776324186,-0.4482944821347836,0.8253371843456913,305,178,127,0.05275303906910225,0.3181109016446727,0.18543197035688747,0.1326789312877852,2.756196888984394,-0.18641361365293418,0.00015196865521496553,0.09024139447407875
48,60,0.01,0,-999.0,999.0,1,1.8406167958979873,0.2986991233744827,-0.5033402982311266,0.8234352539207933,105,53,52,0.07121497757264512,0.3695963076122993,0.22040564259247222,0.14919066501982708,3.6401050367331917,-0.35480498792796844,0.00014007091848005265,0.08820073695495906
48,60,0.01,0,-999.0,1.5,1,1.607365164982283,0.2711391572849009,-0.4503724266816075,0.8320390472307543,305,178,127,0.0516804264447767,0.29630111161671974,0.17399076903074823,0.12231034258597152,2.711158342560817,-0.18165045398862767,0.0001601927777671628,0.08755489630563487
20,200,0.005,0,-999.0,1.5,1,1.507999930992309,0.2588347694934223,-0.43194719924859015,0.7774405710838754,372,211,161,0.05278554248196061,0.38815575635441724,0.22047064941818892,0.16768510693622832,2.683349477842177,-0.1798683572329559,0.00012776149165191208,0.08173319842332102
