ema_fast,ema_slow,atr_stop,volume_filter,total_return,annual_return,max_drawdown,sharpe,trades,exposure,avg_bar_return_when_in_position,score
30,48,2.5,0.0,4.1091605740284365e-05,8.223814987440292e-06,-0.32015011768683754,0.07978772532520909,948,0.051775282949981745,0.001434002961173923,-0.15767320326867507
30,48,3.0,0.0,4.1091605740284365e-05,8.223814987440292e-06,-0.32015011768683754,0.07978772532520909,948,0.051775282949981745,0.001434002961173923,-0.15767320326867507
30,48,2.0,0.0,4.1091605740284365e-05,8.223814987440292e-06,-0.32015011768683754,0.07978772532520909,948,0.051775282949981745,0.001434002961173923,-0.15767320326867507
30,48,1.5,0.0,4.1091605740284365e-05,8.223814987440292e-06,-0.32015011768683754,0.07978772532520909,948,0.051775282949981745,0.001434002961173923,-0.15767320326867507
30,48,3.0,-0.2,-0.02589125403169612,-0.005236302538294102,-0.3422973268733175,0.05898980629318082,992,0.06900328587075576,0.0010779629604886812,-0.17461527178615743
30,48,2.5,-0.2,-0.02589125403169612,-0.005236302538294102,-0.3422973268733175,0.05898980629318082,992,0.06900328587075576,0.0010779629604886812,-0.17461527178615743
30,48,2.0,-0.2,-0.02589125403169612,-0.005236302538294102,-0.3422973268733175,0.05898980629318082,992,0.06900328587075576,0.0010779629604886812,-0.17461527178615743
30,48,1.5,-0.2,-0.02589125403169612,-0.005236302538294102,-0.3422973268733175,0.05898980629318082,992,0.06900328587075576,0.0010779629604886812,-0.17461527178615743
30,60,1.5,0.0,-0.04905673514649489,-0.010016562563950115,-0.3490105393292523,0.018206706910824363,971,0.05275648046732384,0.0013995156418746748,-0.18397563102125153
30,60,2.0,0.0,-0.04905673514649489,-0.010016562563950115,-0.3490105393292523,0.018206706910824363,971,0.05275648046732384,0.0013995156418746748,-0.18397563102125153
30,60,2.5,0.0,-0.04905673514649489,-0.010016562563950115,-0.3490105393292523,0.018206706910824363,971,0.05275648046732384,0.0013995156418746748,-0.18397563102125153
30,60,3.0,0.0,-0.04905673514649489,-0.010016562563950115,-0.3490105393292523,0.018206706910824363,971,0.05275648046732384,0.0013995156418746748,-0.18397563102125153
30,60,3.0,-0.2,-0.05472697208901656,-0.011200803370948531,-0.3610996165149577,0.026669620131502415,1014,0.07048649142022637,0.0010443747305801624,-0.19095052302448232
30,60,2.5,-0.2,-0.05472697208901656,-0.011200803370948531,-0.3610996165149577,0.026669620131502415,1014,0.07048649142022637,0.0010443747305801624,-0.19095052302448232
30,60,1.5,-0.2,-0.05472697208901656,-0.011200803370948531,-0.3610996165149577,0.026669620131502415,1014,0.07048649142022637,0.0010443747305801624,-0.19095052302448232
30,60,2.0,-0.2,-0.05472697208901656,-0.011200803370948531,-0.3610996165149577,0.026669620131502415,1014,0.07048649142022637,0.0010443747305801624,-0.19095052302448232
30,96,1.5,0.0,-0.085777554575452,-0.01778844142322733,-0.35639294427967505,-0.026894420915772682,1019,0.055289339174881345,0.0013409260414158025,-0.19679174619053805
30,96,2.0,0.0,-0.085777554575452,-0.01778844142322733,-0.35639294427967505,-0.026894420915772682,1019,0.055289339174881345,0.0013409260414158025,-0.19679174619053805
30,96,2.5,0.0,-0.085777554575452,-0.01778844142322733,-0.35639294427967505,-0.026894420915772682,1019,0.055289339174881345,0.0013409260414158025,-0.19679174619053805
30,96,3.0,0.0,-0.085777554575452,-0.01778844142322733,-0.35639294427967505,-0.026894420915772682,1019,0.055289339174881345,0.0013409260414158025,-0.19679174619053805
12,48,1.5,0.0,-0.07298044370660184,-0.015052072184329579,-0.37347540525770007,-0.012212726882790141,996,0.05444505293902884,0.0013593624776569236,-0.20215615661966332
12,48,3.0,0.0,-0.07298044370660184,-0.015052072184329579,-0.37347540525770007,-0.012212726882790141,996,0.05444505293902884,0.0013593624776569236,-0.20215615661966332
12,48,2.5,0.0,-0.07298044370660184,-0.015052072184329579,-0.37347540525770007,-0.012212726882790141,996,0.05444505293902884,0.0013593624776569236,-0.20215615661966332
12,48,2.0,0.0,-0.07298044370660184,-0.015052072184329579,-0.37347540525770007,-0.012212726882790141,996,0.05444505293902884,0.0013593624776569236,-0.20215615661966332
30,96,1.5,-0.2,-0.10367868358955923,-0.021668058123476164,-0.3765509651294733,-0.028170006025315643,1071,0.07413745892661555,0.0009974336457116975,-0.21078864086897228
30,96,2.0,-0.2,-0.10367868358955923,-0.021668058123476164,-0.3765509651294733,-0.028170006025315643,1071,0.07413745892661555,0.0009974336457116975,-0.21078864086897228
30,96,2.5,-0.2,-0.10367868358955923,-0.021668058123476164,-0.3765509651294733,-0.028170006025315643,1071,0.07413745892661555,0.0009974336457116975,-0.21078864086897228
30,96,3.0,-0.2,-0.10367868358955923,-0.021668058123476164,-0.3765509651294733,-0.028170006025315643,1071,0.07413745892661555,0.0009974336457116975,-0.21078864086897228
20,60,2.5,0.0,-0.07503550536104187,-0.015489455254029116,-0.39138594006228544,-0.016457273112755633,974,0.05298466593647316,0.0014019545157378144,-0.2116761434785545
20,60,1.5,0.0,-0.07503550536104187,-0.015489455254029116,-0.39138594006228544,-0.016457273112755633,974,0.05298466593647316,0.0014019545157378144,-0.2116761434785545
20,60,2.0,0.0,-0.07503550536104187,-0.015489455254029116,-0.39138594006228544,-0.016457273112755633,974,0.05298466593647316,0.0014019545157378144,-0.2116761434785545
20,60,3.0,0.0,-0.07503550536104187,-0.015489455254029116,-0.39138594006228544,-0.016457273112755633,974,0.05298466593647316,0.0014019545157378144,-0.2116761434785545
20,96,1.5,0.0,-0.12837653680165362,-0.027123734508185393,-0.3678958895052863,-0.0857995383313941,1009,0.055015516611902154,0.0013445669400915388,-0.21364566541077035
20,96,2.0,0.0,-0.12837653680165362,-0.027123734508185393,-0.3678958895052863,-0.0857995383313941,1009,0.055015516611902154,0.0013445669400915388,-0.21364566541077035
20,96,2.5,0.0,-0.12837653680165362,-0.027123734508185393,-0.3678958895052863,-0.0857995383313941,1009,0.055015516611902154,0.0013445669400915388,-0.21364566541077035
20,96,3.0,0.0,-0.12837653680165362,-0.027123734508185393,-0.3678958895052863,-0.0857995383313941,1009,0.055015516611902154,0.0013445669400915388,-0.21364566541077035
20,48,2.5,0.0,-0.1021413566082845,-0.021332460855797986,-0.3831909956963325,-0.053589246878872364,970,0.0528705732018985,0.0014000324852410332,-0.2145356361103304
20,48,3.0,0.0,-0.1021413566082845,-0.021332460855797986,-0.3831909956963325,-0.053589246878872364,970,0.0528705732018985,0.0014000324852410332,-0.2145356361103304
20,48,1.5,0.0,-0.1021413566082845,-0.021332460855797986,-0.3831909956963325,-0.053589246878872364,970,0.0528705732018985,0.0014000324852410332,-0.2145356361103304
20,48,2.0,0.0,-0.1021413566082845,-0.021332460855797986,-0.3831909956963325,-0.053589246878872364,970,0.0528705732018985,0.0014000324852410332,-0.2145356361103304
20,60,1.5,-0.2,-0.07703897004019,-0.015916605724318744,-0.40015921705430724,-0.0003635933762040316,1012,0.07064622124863089,0.0010527339289418554,-0.2160071220527585
20,60,2.0,-0.2,-0.07703897004019,-0.015916605724318744,-0.40015921705430724,-0.0003635933762040316,1012,0.07064622124863089,0.0010527339289418554,-0.2160071220527585
20,60,2.5,-0.2,-0.07703897004019,-0.015916605724318744,-0.40015921705430724,-0.0003635933762040316,1012,0.07064622124863089,0.0010527339289418554,-0.2160071220527585
20,60,3.0,-0.2,-0.07703897004019,-0.015916605724318744,-0.40015921705430724,-0.0003635933762040316,1012,0.07064622124863089,0.0010527339289418554,-0.2160071220527585
12,60,3.0,0.0,-0.12333950665955207,-0.026001123783571,-0.3851103441701442,-0.08087763556122093,1005,0.0546960569550931,0.0013544747905887733,-0.22098262493547974
12,60,2.5,0.0,-0.12333950665955207,-0.026001123783571,-0.3851103441701442,-0.08087763556122093,1005,0.0546960569550931,0.0013544747905887733,-0.22098262493547974
12,60,2.0,0.0,-0.12333950665955207,-0.026001123783571,-0.3851103441701442,-0.08087763556122093,1005,0.0546960569550931,0.0013544747905887733,-0.22098262493547974
12,60,1.5,0.0,-0.12333950665955207,-0.026001123783571,-0.3851103441701442,-0.08087763556122093,1005,0.0546960569550931,0.0013544747905887733,-0.22098262493547974
12,96,3.0,0.0,-0.1495830578281142,-0.03190775478405383,-0.37757326473280994,-0.11552672752612803,1037,0.05611080686381891,0.001318530381192234,-0.22416018897624265
12,96,2.5,0.0,-0.1495830578281142,-0.03190775478405383,-0.37757326473280994,-0.11552672752612803,1037,0.05611080686381891,0.001318530381192234,-0.22416018897624265
12,96,1.5,0.0,-0.1495830578281142,-0.03190775478405383,-0.37757326473280994,-0.11552672752612803,1037,0.05611080686381891,0.001318530381192234,-0.22416018897624265
12,96,2.0,0.0,-0.1495830578281142,-0.03190775478405383,-0.37757326473280994,-0.11552672752612803,1037,0.05611080686381891,0.001318530381192234,-0.22416018897624265
20,48,2.5,-0.2,-0.13106787702256517,-0.02772568617214377,-0.394104451066389,-0.06818331497633535,1012,0.07021266885724717,0.0010560563339375877,-0.22682341115462834
20,48,2.0,-0.2,-0.13106787702256517,-0.02772568617214377,-0.394104451066389,-0.06818331497633535,1012,0.07021266885724717,0.0010560563339375877,-0.22682341115462834
20,48,3.0,-0.2,-0.13106787702256517,-0.02772568617214377,-0.394104451066389,-0.06818331497633535,1012,0.07021266885724717,0.0010560563339375877,-0.22682341115462834
20,48,1.5,-0.2,-0.13106787702256517,-0.02772568617214377,-0.394104451066389,-0.06818331497633535,1012,0.07021266885724717,0.0010560563339375877,-0.22682341115462834
12,48,1.5,-0.2,-0.12636925403742827,-0.026675747948416317,-0.40536713590894047,-0.05979597915767531,1038,0.07215224534501644,0.0010292590287073026,-0.23115319527761682
12,48,3.0,-0.2,-0.12636925403742827,-0.026675747948416317,-0.40536713590894047,-0.05979597915767531,1038,0.07215224534501644,0.0010292590287073026,-0.23115319527761682
12,48,2.0,-0.2,-0.12636925403742827,-0.026675747948416317,-0.40536713590894047,-0.05979597915767531,1038,0.07215224534501644,0.0010292590287073026,-0.23115319527761682
12,48,2.5,-0.2,-0.12636925403742827,-0.026675747948416317,-0.40536713590894047,-0.05979597915767531,1038,0.07215224534501644,0.0010292590287073026,-0.23115319527761682
12,60,1.5,-0.2,-0.14645161276472607,-0.03119536387594135,-0.3983917406583596,-0.08563408364838791,1047,0.07265425337714494,0.001021667008647307,-0.23296025671457277
12,60,2.0,-0.2,-0.14645161276472607,-0.03119536387594135,-0.3983917406583596,-0.08563408364838791,1047,0.07265425337714494,0.001021667008647307,-0.23296025671457277
12,60,2.5,-0.2,-0.14645161276472607,-0.03119536387594135,-0.3983917406583596,-0.08563408364838791,1047,0.07265425337714494,0.001021667008647307,-0.23296025671457277
12,60,3.0,-0.2,-0.14645161276472607,-0.03119536387594135,-0.3983917406583596,-0.08563408364838791,1047,0.07265425337714494,0.001021667008647307,-0.23296025671457277
12,96,1.5,-0.2,-0.166286730006583,-0.035743615256827455,-0.39154499677738996,-0.10839123363130465,1091,0.0749361080686382,0.0009831623225659278,-0.23476785065446157
12,96,3.0,-0.2,-0.166286730006583,-0.035743615256827455,-0.39154499677738996,-0.10839123363130465,1091,0.0749361080686382,0.0009831623225659278,-0.23476785065446157
12,96,2.0,-0.2,-0.166286730006583,-0.035743615256827455,-0.39154499677738996,-0.10839123363130465,1091,0.0749361080686382,0.0009831623225659278,-0.23476785065446157
12,96,2.5,-0.2,-0.166286730006583,-0.035743615256827455,-0.39154499677738996,-0.10839123363130465,1091,0.0749361080686382,0.0009831623225659278,-0.23476785065446157
20,96,2.5,-0.2,-0.18566919320142028,-0.04027246759858982,-0.40606412284936444,-0.1347355694477624,1063,0.07361263234757211,0.0010020297246559836,-0.24734659610670492
20,96,3.0,-0.2,-0.18566919320142028,-0.04027246759858982,-0.40606412284936444,-0.1347355694477624,1063,0.07361263234757211,0.0010020297246559836,-0.24734659610670492
20,96,2.0,-0.2,-0.18566919320142028,-0.04027246759858982,-0.40606412284936444,-0.1347355694477624,1063,0.07361263234757211,0.0010020297246559836,-0.24734659610670492
