mode,long_threshold,short_threshold,total_return,annual_return,max_drawdown,sharpe,trades,long_trades,short_trades,exposure,abs_exposure,long_exposure,short_exposure,long_total_return,short_total_return,avg_bar_return_when_in_position,score
long_short,0.52,0.4,15.57067329098512,15.602569973300291,-0.2466217023382552,6.127944844274018,323,172,151,-0.03393077028321248,0.614037488028458,0.2900533588726228,0.3239841291558353,3.46884678020949,3.325564241109979,0.0006904448403780962,15.785656364344863
long_short,0.52,0.38,14.137861624250162,14.166060858508812,-0.2466217023382551,6.074555918648547,305,172,133,0.009166780681351757,0.5709399370638938,0.2900533588726228,0.28088657819127105,3.4800622128688206,2.9180695748005645,0.0007178502233536208,14.346477803272112
long_short,0.52,0.42,13.521445706025702,13.548082411528604,-0.24662170233825476,5.729968502061391,332,172,160,-0.08961554248187166,0.6697222602271172,0.2900533588726228,0.37966890135449444,3.4554104276371156,2.8058758538193547,0.0006076307887842981,13.711269985462545
long_short,0.52,0.45,12.754437723061741,12.779155353845038,-0.2376886485746551,5.443737783017219,350,172,178,-0.18018880831851142,0.760295526063757,0.2900533588726228,0.4702421671911342,3.4353111656809086,2.6230007858877222,0.0005274964061330208,12.932497918708572
long_short,0.58,0.4,11.100742915928008,11.121425215287275,-0.1543965933441891,6.388516602094773,286,135,151,-0.15433027773977287,0.49363798057189767,0.1696538514160624,0.3239841291558353,2.211605869744362,3.3363409891078133,0.0007569169753509112,11.36365274871992
long_short,0.55,0.4,10.858349821875626,10.87845320038593,-0.16144078943970064,5.987435609804364,296,145,151,-0.10548638664660008,0.5424818716650704,0.21849774250923518,0.3239841291558353,2.1630191273247337,3.3320522535902386,0.0006879466035345538,11.097104586156298
long_short,0.6,0.4,10.071086817909205,10.089333771785173,-0.10708007144961917,6.506245043218728,265,114,151,-0.1840197017375838,0.46394855657408673,0.13996442741825146,0.3239841291558353,1.90908515549887,3.3363409891078133,0.000772978976286173,10.361105988221299
long_short,0.62,0.4,10.0485526188003,10.066746988580372,-0.11181279925765963,6.7200114341306225,255,104,151,-0.20974141469421262,0.43822684361745795,0.11424271446162265,0.3239841291558353,1.8886807721428251,3.3363409891078133,0.0008142684285837065,10.346841160658073
long_short,0.58,0.38,10.05447116668452,10.072679344485808,-0.09967750658869012,6.3694138548017065,268,135,133,-0.11123272677520865,0.4505404296073334,0.1696538514160624,0.28088657819127105,2.2148357627776165,2.9258851468308076,0.0007973972017928489,10.341311283931548
long_short,0.55,0.38,9.833036211176282,9.850729271544479,-0.16144078943970053,5.943628408950203,278,145,133,-0.06238883568203585,0.4993843207005062,0.21849774250923518,0.28088657819127105,2.166200156958425,2.922002361065262,0.000718515293548567,10.067190297272138
long_short,0.58,0.42,9.604504092030389,9.6216687843688,-0.25983004687626,5.883309352355128,295,135,160,-0.21001504993843206,0.5493227527705569,0.1696538514160624,0.37966890135449444,2.205211252108095,2.8172741157626713,0.0006495872265375669,9.785919228548426
long_short,0.55,0.42,9.392082542740564,9.408759145418184,-0.2365964460108967,5.533686155235048,305,145,160,-0.16117115884525926,0.5981666438637296,0.21849774250923518,0.37966890135449444,2.1567212505877467,2.8134987486682177,0.0005958015897751029,9.567145230174487
long_short,0.52,0.48,9.341444413145142,9.358005100256788,-0.3018755691791023,4.640026069599189,378,172,206,-0.2918319879600493,0.8719387057052949,0.2900533588726228,0.581885346832672,3.3844788780788315,1.7281539220510482,0.00041668081403095067,9.439068619147196
long_short,0.6,0.38,9.113842667572575,9.129884466398979,-0.10112122104499999,6.505739354554266,247,114,133,-0.14092215077301956,0.4208510056095225,0.13996442741825146,0.28088657819127105,1.9120108052385931,2.9258851468308076,0.0008179597682133212,9.404610823604193
long_short,0.62,0.38,9.093256852631738,9.109251891977367,-0.09967750658868901,6.739171097407614,237,104,133,-0.16664386372964837,0.3951292926528937,0.11424271446162265,0.28088657819127105,1.8915859013148641,2.9258851468308076,0.0008666808570607258,9.396371693553403
long_short,0.58,0.45,9.044540084400412,9.060424581363739,-0.22708277124898146,5.505819896423578,313,135,178,-0.30058831577507183,0.6398960186071966,0.1696538514160624,0.4702421671911342,2.2036125226012233,2.6483974374536365,0.0005501470028502006,9.222174190560427
long_short,0.55,0.45,8.843399676341537,8.858829495196314,-0.2028211160469311,5.205037416265188,323,145,178,-0.251744424681899,0.6887399097003694,0.21849774250923518,0.4702421671911342,2.1520143969029135,2.641143553005398,0.0005100892666425917,9.017670807986109
long_short,0.6,0.42,8.702163435701573,8.717275672720922,-0.22100323583700088,5.956568770254471,274,114,160,-0.239704473936243,0.5196333287727459,0.13996442741825146,0.37966890135449444,1.9032928858383853,2.8172741157626713,0.0006577956756368236,8.904602493315146
long_short,0.62,0.42,8.682415688868264,8.697483633380843,-0.22255578257603525,6.135265095588965,264,104,160,-0.2654261868928718,0.4939116158161171,0.11424271446162265,0.37966890135449444,1.8843713546049132,2.8172741157626713,0.0006885700953561929,8.892968996872273
long_short,0.6,0.45,8.189835826189343,8.203808051590553,-0.18353020158489686,5.5411785009162235,292,114,178,-0.3302777397728828,0.6102065946093856,0.13996442741825146,0.4702421671911342,1.9032928858383853,2.6483974374536365,0.0005524109403252721,8.389101875843915
long_short,0.62,0.45,8.171130869038416,8.185061837407513,-0.18815938487660233,5.687339084279128,282,104,178,-0.35599945272951156,0.5844848816527569,0.11424271446162265,0.4702421671911342,1.8843713546049132,2.6483974374536365,0.0005737787598356539,8.375349099183168
long_short,0.58,0.48,6.5524050306038255,6.562871146699986,-0.329472849793659,4.534925058279954,341,135,206,-0.41223149541660964,0.7515391982487344,0.1696538514160624,0.581885346832672,2.192431682273055,1.7790896604505622,0.0004217634864861533,6.624880974717154
long_short,0.55,0.48,6.4011610580206515,6.411314891449975,-0.30949694837332253,4.317059074432209,351,145,206,-0.36338760432343686,0.8003830893419073,0.21849774250923518,0.581885346832672,2.130017579716711,1.7652675810239735,0.00039401686619091605,6.472419370984924
long_short,0.6,0.48,5.909689109930344,5.918843050587576,-0.28671766352693917,4.506826420183531,320,114,206,-0.4419209194144206,0.7218497742509236,0.13996442741825146,0.581885346832672,1.9018389496215202,1.7818575188457233,0.0004191550592852095,6.000825539833283
long_short,0.62,0.48,5.89562515479866,5.904750827781785,-0.2984192402989946,4.6017924737856335,310,104,206,-0.4676426323710494,0.6961280612942947,0.11424271446162265,0.581885346832672,1.882926894076729,1.7818575188457233,0.0004321722014457478,5.98563083132157
